#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	24025	23112	96.21	20	0.08	7	0.03	37	0.15	849	3.53
Ecoli	24025	24025	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	24025	24025	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	24025	24025	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	24025	23812	99.12	0	0.00	0	0.00	1	0.00	212	0.88
Bacteria_24k	24025	23201	96.56	52	0.22	119	0.50	43	0.18	610	2.54
Protists_1k	24025	22876	95.22	62	0.26	90	0.37	57	0.24	940	3.91
Viruses	24025	23408	97.44	3	0.01	0	0.00	34	0.14	580	2.41
Fungi_RefSeq_release	24025	23156	96.38	13	0.05	4	0.02	55	0.23	797	3.32
Coral	24025	23421	97.49	1	0.00	0	0.00	40	0.17	563	2.34
Bird	24025	23281	96.90	7	0.03	3	0.01	69	0.29	665	2.77
Plant	24025	23368	97.27	1	0.00	0	0.00	36	0.15	620	2.58

%Hit_no_genomes: 94.16
