#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	175760	166373	94.66	225	0.13	71	0.04	689	0.39	8402	4.78
Ecoli	175760	175757	100.00	0	0.00	0	0.00	0	0.00	3	0.00
PhiX	175760	175760	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	175760	175750	100.00	0	0.00	0	0.00	3	0.00	7	0.00
Vectors	175760	174006	99.00	0	0.00	0	0.00	38	0.02	1716	0.98
Bacteria_24k	175760	167583	95.35	1006	0.57	1181	0.67	549	0.31	5441	3.10
Protists_1k	175760	162639	92.53	839	0.48	1370	0.78	741	0.42	10171	5.79
Viruses	175760	170378	96.94	5	0.00	5	0.00	467	0.27	4905	2.79
Fungi_RefSeq_release	175760	166823	94.92	127	0.07	43	0.02	793	0.45	7974	4.54
Coral	175760	170491	97.00	14	0.01	1	0.00	601	0.34	4653	2.65
Bird	175760	168707	95.99	121	0.07	23	0.01	899	0.51	6010	3.42
Plant	175760	169205	96.27	28	0.02	10	0.01	570	0.32	5947	3.38

%Hit_no_genomes: 90.74
