Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Abu-APnd_001-Ex1-4E-lcwgs-1-2.clmp.r1r2_fastp	36.529	36.3108	36.253	36.3016	36.3402	36.3312	36.2919	36.3363	36.3093	36.3169	36.344	36.3326	36.3436	36.3	36.3005	36.3215	36.3001	36.3009	36.2734	36.2606	36.2585	36.245	36.2303	36.2018	36.1781	36.1393	36.1355	36.1008	36.105	36.0778	36.0967	36.075	36.0505	36.0475	36.0268	36.0119	36.0276	36.0093	36.0023	36.004	36.0116	35.9795	35.9938	35.9686	35.9434	35.9444	35.9105	35.9159	35.8724	35.8693	35.858	35.8419	35.8492	35.8126	35.8569	35.8724	35.8484	35.8375	35.8623	35.8598	35.8562	35.8658	35.8442	35.8095	35.788	35.8052	35.8015	35.7657	35.7279	35.7101	35.7099	35.7017	35.6957	35.6974	35.6946	35.6754	35.6444	35.6466	35.6967	35.685	35.6803	35.6542	35.6725	35.7099	35.679	35.6844	35.6672	35.6438	35.6182	35.5816	35.5817	35.579	35.5563	35.5414	35.5491	35.5126	35.5203	35.5312	35.4389	35.4426	35.4457	35.4074	35.3911	35.3331	35.3031	35.3243	35.3277	35.2817	35.2444	35.1754	35.1738	35.1929	35.1832	35.1815	35.1726	35.1305	35.126	35.0676	35.0463	35.0202	35.0065	34.9878	34.995	34.9769	34.9023	34.9073	34.8863	34.8604	34.8399	34.7923	34.7576	34.7049	34.7299	34.7374	34.6091	34.5363	34.5638	34.5381	34.5665	34.529	34.572	34.4689	34.3496	34.3343	34.2592	34.1764	34.1236	34.121	34.3238	35.6146
Abu-APnd_002-Ex1-4F-lcwgs-1-2.clmp.r1r2_fastp	36.4806	36.2861	36.2283	36.2675	36.3013	36.2911	36.255	36.2902	36.2668	36.2696	36.298	36.2885	36.2931	36.2508	36.2521	36.2698	36.252	36.2523	36.2271	36.2089	36.209	36.1948	36.1806	36.1546	36.1246	36.0819	36.0815	36.04	36.0493	36.0193	36.0429	36.0208	35.9971	35.9952	35.9738	35.9581	35.9713	35.9517	35.9498	35.9473	35.9589	35.9238	35.9385	35.9154	35.8862	35.8854	35.8499	35.865	35.82	35.8147	35.8067	35.788	35.7994	35.7587	35.8078	35.8187	35.7977	35.7821	35.8059	35.803	35.7954	35.8037	35.7887	35.7512	35.7311	35.7476	35.744	35.7069	35.6776	35.6462	35.6521	35.6565	35.6452	35.6452	35.648	35.6211	35.5939	35.595	35.6451	35.6277	35.6213	35.5981	35.6134	35.6489	35.6203	35.6261	35.6121	35.5809	35.5628	35.5238	35.5207	35.5143	35.4969	35.4769	35.4889	35.4507	35.4642	35.468	35.3757	35.375	35.3846	35.3409	35.32	35.2722	35.2304	35.2616	35.2727	35.2186	35.1841	35.1127	35.1101	35.1306	35.1097	35.1248	35.0992	35.0589	35.0605	34.9919	34.9795	34.9437	34.9465	34.9178	34.9301	34.9125	34.8352	34.8207	34.8139	34.7861	34.7819	34.7413	34.6945	34.6579	34.6631	34.66	34.5379	34.4654	34.4916	34.4627	34.5098	34.4812	34.5068	34.4049	34.2882	34.2738	34.2063	34.0994	34.0645	34.0445	34.2688	35.6001
Abu-APnd_003-Ex1-4G-lcwgs-1-2.clmp.r1r2_fastp	36.4203	36.2144	36.1486	36.2027	36.2409	36.231	36.192	36.2408	36.2158	36.2153	36.2433	36.2345	36.2389	36.1967	36.1999	36.2222	36.2022	36.2046	36.1713	36.1557	36.1474	36.1382	36.1224	36.0874	36.0621	36.0129	36.0157	35.9662	35.9803	35.9542	35.9753	35.949	35.9215	35.9202	35.8887	35.8748	35.8879	35.8642	35.8544	35.853	35.8646	35.828	35.8456	35.8169	35.7847	35.7908	35.7504	35.7693	35.7197	35.7137	35.7039	35.6797	35.6894	35.6507	35.6981	35.7097	35.6834	35.6634	35.684	35.6744	35.6719	35.6786	35.6664	35.6206	35.5967	35.6155	35.6138	35.5734	35.5381	35.5132	35.5214	35.5204	35.5118	35.5055	35.5023	35.4754	35.4339	35.4472	35.4972	35.4723	35.4663	35.4339	35.4535	35.4891	35.4503	35.4571	35.4356	35.4127	35.3805	35.3471	35.3471	35.3483	35.3149	35.2891	35.3053	35.2555	35.2683	35.2658	35.1798	35.1771	35.1752	35.1438	35.114	35.0405	35.0231	35.0509	35.0508	35.0038	34.9519	34.8908	34.8784	34.903	34.8881	34.8942	34.878	34.8324	34.8194	34.7587	34.7384	34.711	34.6866	34.6756	34.68	34.6751	34.5863	34.5821	34.559	34.532	34.5281	34.4988	34.4425	34.3887	34.407	34.3904	34.2505	34.2059	34.2274	34.2078	34.2144	34.1874	34.2365	34.1271	33.9952	34.0233	33.9115	33.8025	33.7804	33.8017	34.009	35.4974
Abu-APnd_004-Ex1-4H-lcwgs-1-2.clmp.r1r2_fastp	36.4739	36.2716	36.2251	36.2642	36.2951	36.2892	36.25	36.3009	36.2798	36.2771	36.3043	36.2933	36.3008	36.2656	36.2575	36.2837	36.262	36.2659	36.2365	36.2235	36.2216	36.2145	36.1973	36.1717	36.147	36.1004	36.0985	36.0608	36.0743	36.0424	36.0637	36.0401	36.0146	36.0204	35.995	35.9864	35.9953	35.9704	35.9734	35.9745	35.9788	35.9463	35.9693	35.942	35.9252	35.9153	35.8821	35.8915	35.8617	35.8346	35.826	35.8119	35.8292	35.7741	35.831	35.8497	35.8259	35.8233	35.8392	35.8319	35.8252	35.835	35.8176	35.7902	35.7729	35.7594	35.7789	35.7455	35.7052	35.6816	35.6931	35.6838	35.6719	35.6874	35.6777	35.6595	35.6373	35.643	35.6837	35.6604	35.6478	35.6232	35.6557	35.6807	35.6565	35.6564	35.6372	35.6158	35.5935	35.57	35.5603	35.5635	35.5429	35.5154	35.5245	35.4962	35.5006	35.5002	35.4216	35.4186	35.4072	35.3971	35.3822	35.3035	35.2918	35.3145	35.2928	35.2662	35.2122	35.166	35.1393	35.1694	35.1533	35.1796	35.1081	35.0911	35.089	35.0529	35.0056	34.9767	34.9887	34.9518	34.9624	34.9467	34.8781	34.8831	34.8409	34.8254	34.8084	34.781	34.7238	34.6865	34.707	34.7424	34.6154	34.4971	34.5426	34.5122	34.5429	34.5015	34.5915	34.4411	34.3029	34.3724	34.2835	34.1679	34.1425	34.0905	34.2777	35.5865
Abu-APnd_005-Ex1-5A-lcwgs-1-2.clmp.r1r2_fastp	36.4085	36.2271	36.1864	36.243	36.281	36.2723	36.2565	36.2692	36.2615	36.2487	36.2751	36.2677	36.2694	36.2386	36.2307	36.2497	36.2324	36.2293	36.2083	36.1845	36.1831	36.1751	36.1608	36.1341	36.1043	36.0623	36.0604	36.0171	36.0248	36.0017	36.0198	35.9967	35.9722	35.9708	35.952	35.9372	35.9532	35.9325	35.9238	35.9227	35.9317	35.8951	35.9118	35.8867	35.8619	35.8602	35.8261	35.8408	35.7956	35.7929	35.7806	35.7631	35.7698	35.7316	35.7755	35.7898	35.7688	35.7484	35.7742	35.7687	35.7641	35.7708	35.7552	35.7181	35.6932	35.7118	35.7117	35.6767	35.6456	35.6212	35.6278	35.6242	35.6248	35.6255	35.6228	35.6034	35.5726	35.5803	35.6286	35.6033	35.6002	35.5694	35.596	35.6299	35.5996	35.6066	35.588	35.5605	35.5357	35.5021	35.5015	35.5011	35.4797	35.4607	35.4772	35.4388	35.4495	35.4497	35.3684	35.3642	35.3669	35.3333	35.3152	35.2599	35.2326	35.2545	35.2632	35.2147	35.1698	35.1071	35.1041	35.1213	35.1147	35.1209	35.106	35.0607	35.0598	35.0031	34.9838	34.9551	34.9416	34.9349	34.9378	34.9204	34.8384	34.8431	34.8192	34.7958	34.7942	34.7506	34.7107	34.6695	34.694	34.6875	34.5728	34.5047	34.5271	34.5082	34.523	34.4958	34.5429	34.438	34.3309	34.341	34.2675	34.1579	34.1242	34.1037	34.3125	35.6067
Abu-APnd_006-Ex1-5B-lcwgs-1-2.clmp.r1r2_fastp	36.5044	36.2756	36.2343	36.3018	36.3346	36.3251	36.3139	36.3268	36.3225	36.3085	36.3352	36.3317	36.3331	36.3022	36.3013	36.3125	36.2961	36.2933	36.271	36.2512	36.2486	36.2436	36.2255	36.2018	36.172	36.1337	36.1329	36.0985	36.1057	36.0794	36.0963	36.0709	36.0455	36.0484	36.0313	36.0161	36.0296	36.0107	36.0045	36.0046	36.0133	35.9806	35.9964	35.9687	35.942	35.9442	35.9106	35.9194	35.8799	35.8754	35.8644	35.8479	35.8521	35.8159	35.857	35.8732	35.8504	35.833	35.8631	35.8571	35.8569	35.8631	35.8459	35.8086	35.786	35.8048	35.802	35.7664	35.7347	35.71	35.7107	35.7111	35.7023	35.7035	35.7098	35.6825	35.6553	35.658	35.7069	35.6898	35.6857	35.6541	35.6767	35.7071	35.6763	35.6869	35.6675	35.6387	35.6129	35.5841	35.5808	35.5778	35.5617	35.533	35.5494	35.5153	35.5259	35.5264	35.4378	35.4455	35.4411	35.4128	35.3888	35.3317	35.3098	35.3282	35.3345	35.2837	35.2433	35.1861	35.1729	35.1966	35.1773	35.1909	35.1656	35.1238	35.132	35.0665	35.0466	35.0045	35.0002	34.9884	34.997	34.9785	34.8924	34.8895	34.8704	34.8562	34.8438	34.7989	34.7565	34.712	34.729	34.7215	34.6087	34.5377	34.566	34.5386	34.5484	34.5247	34.5599	34.4434	34.3363	34.3513	34.2761	34.1677	34.1343	34.1457	34.3393	35.6258
Abu-APnd_009-Ex1-5E-lcwgs-1-2.clmp.r1r2_fastp	36.4155	36.1562	36.1188	36.1948	36.2346	36.2241	36.2145	36.2291	36.2274	36.2078	36.2368	36.2368	36.238	36.2027	36.1977	36.2123	36.1968	36.1896	36.1636	36.1426	36.1346	36.1291	36.1084	36.0786	36.0454	35.9996	35.9982	35.9592	35.9679	35.94	35.9553	35.9276	35.8977	35.8962	35.8691	35.8486	35.8594	35.8312	35.8225	35.8196	35.8301	35.7935	35.805	35.7764	35.753	35.7514	35.7122	35.73	35.6771	35.6732	35.6623	35.6405	35.6434	35.6053	35.6439	35.6533	35.6296	35.6068	35.625	35.6191	35.6143	35.6242	35.6093	35.56	35.5361	35.5488	35.5508	35.5068	35.4754	35.4537	35.4602	35.4575	35.4503	35.4445	35.4413	35.4141	35.3795	35.3927	35.4314	35.405	35.3948	35.3661	35.3815	35.4213	35.3796	35.3843	35.3611	35.335	35.3084	35.279	35.2829	35.2763	35.2379	35.2171	35.2304	35.1855	35.1968	35.1929	35.1108	35.1179	35.1184	35.0796	35.0562	34.9913	34.9657	34.9853	34.9984	34.9548	34.9055	34.8347	34.8337	34.8564	34.8462	34.8443	34.8368	34.7779	34.7785	34.7114	34.6962	34.6759	34.6448	34.637	34.6441	34.6366	34.5607	34.5549	34.5319	34.5078	34.5076	34.4716	34.4194	34.3666	34.3702	34.362	34.2382	34.1877	34.2168	34.1983	34.2225	34.1871	34.251	34.1244	34.0109	34.0055	33.9054	33.8135	33.7793	33.7943	34.038	35.5234
Abu-APnd_010-Ex1-5F-lcwgs-1-2.clmp.r1r2_fastp	36.1485	35.7118	35.6354	35.7175	35.7663	35.7545	35.7204	35.7438	35.7286	35.7229	35.7695	35.7486	35.7626	35.723	35.7088	35.731	35.7091	35.7031	35.6812	35.6494	35.6414	35.6371	35.6222	35.5772	35.5463	35.4874	35.483	35.434	35.4479	35.4112	35.436	35.4056	35.3722	35.375	35.355	35.3268	35.3508	35.3335	35.3169	35.3217	35.3366	35.2842	35.3106	35.277	35.2452	35.2499	35.216	35.2466	35.2011	35.2035	35.187	35.1608	35.1648	35.1107	35.1635	35.1753	35.1406	35.1251	35.1611	35.1485	35.148	35.1523	35.1342	35.0917	35.069	35.0722	35.0679	35.0372	34.9913	34.9771	34.9967	34.9906	34.9884	34.993	34.9957	34.9677	34.9524	34.9421	34.9949	34.9486	34.9298	34.9089	34.9267	34.9623	34.9233	34.9338	34.9056	34.8881	34.8594	34.8175	34.8122	34.8239	34.7897	34.7724	34.7961	34.7508	34.7565	34.7677	34.661	34.6705	34.6767	34.6385	34.6157	34.5708	34.5192	34.5499	34.5656	34.5036	34.4687	34.4023	34.3979	34.4228	34.4133	34.414	34.4064	34.3649	34.3688	34.2973	34.2868	34.2542	34.2538	34.2578	34.2558	34.2432	34.1632	34.1587	34.1553	34.1434	34.1285	34.0953	34.0564	33.9929	34.0318	34.0323	33.9099	33.8549	33.8907	33.8789	33.8943	33.8859	33.91	33.8105	33.7058	33.7103	33.6168	33.5405	33.5024	33.5417	33.8141	35.3819
Abu-APnd_011-Ex1-5G-lcwgs-1-2.clmp.r1r2_fastp	36.457	36.291	36.2375	36.2982	36.33	36.3188	36.3101	36.3149	36.3133	36.297	36.3257	36.3176	36.3199	36.292	36.2833	36.3025	36.2809	36.2822	36.2638	36.2394	36.2363	36.2286	36.2089	36.1827	36.1581	36.1148	36.1187	36.082	36.0885	36.0604	36.0752	36.052	36.0248	36.0249	36.0049	35.9933	36.0101	35.987	35.982	35.9814	35.9905	35.9566	35.9707	35.9386	35.9182	35.9186	35.8812	35.8929	35.8565	35.8495	35.8382	35.8112	35.8216	35.7807	35.8286	35.8455	35.8261	35.8005	35.8353	35.8259	35.8231	35.8344	35.8095	35.7756	35.7386	35.7695	35.7719	35.7216	35.6967	35.677	35.6794	35.6781	35.6655	35.6701	35.6679	35.648	35.611	35.6247	35.6613	35.6442	35.6423	35.614	35.6334	35.6724	35.6465	35.6454	35.6234	35.5962	35.5696	35.5403	35.5361	35.5356	35.5168	35.4975	35.5133	35.4803	35.4905	35.4787	35.3922	35.3849	35.3908	35.3605	35.3428	35.2805	35.2555	35.2698	35.2814	35.247	35.1933	35.116	35.1164	35.1351	35.126	35.1494	35.1169	35.0765	35.0649	35.016	34.99	34.9638	34.9624	34.9506	34.9513	34.9223	34.8395	34.8481	34.8325	34.7882	34.7685	34.7568	34.6946	34.6815	34.6883	34.682	34.566	34.5224	34.5105	34.4598	34.5072	34.453	34.4941	34.4193	34.278	34.2806	34.2252	34.1198	34.0917	34.0822	34.2791	35.5776
Abu-APnd_012-Ex1-5H-lcwgs-1-2.clmp.r1r2_fastp	36.4741	36.2809	36.2319	36.2904	36.3262	36.31	36.2968	36.3078	36.3041	36.2914	36.3176	36.3155	36.3104	36.2804	36.2763	36.2888	36.2745	36.2697	36.2494	36.2251	36.2238	36.2151	36.1985	36.1756	36.1447	36.1016	36.1032	36.0634	36.0697	36.0473	36.0631	36.0369	36.0087	36.0124	35.9936	35.9769	35.9945	35.9722	35.9634	35.9661	35.9744	35.9363	35.9526	35.9267	35.9009	35.9008	35.8617	35.8771	35.8345	35.8277	35.8168	35.8019	35.8071	35.7648	35.8065	35.8243	35.803	35.7852	35.8082	35.8069	35.8012	35.8099	35.7898	35.7527	35.7326	35.7459	35.7416	35.7094	35.6718	35.6525	35.6557	35.6537	35.6487	35.6498	35.6492	35.6273	35.589	35.5979	35.6507	35.6252	35.6205	35.5954	35.6146	35.6504	35.6183	35.6276	35.6035	35.5823	35.5561	35.5233	35.5186	35.5157	35.4998	35.4773	35.4962	35.4559	35.469	35.4605	35.3793	35.38	35.3794	35.3463	35.3287	35.2672	35.2447	35.2675	35.2684	35.2186	35.1795	35.1106	35.1037	35.1326	35.106	35.1201	35.1126	35.0638	35.062	35.0001	34.977	34.9455	34.9306	34.9244	34.9384	34.9235	34.834	34.8414	34.8208	34.7813	34.7967	34.7599	34.7078	34.6533	34.696	34.6755	34.5414	34.5041	34.521	34.508	34.5184	34.4654	34.5209	34.4172	34.3173	34.2995	34.2187	34.1209	34.0888	34.081	34.2909	35.6107
