#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	6714734	6468834	96.33	4915	0.07	1723	0.03	14495	0.22	224767	3.35
Ecoli	6714734	6714681	100.00	0	0.00	0	0.00	10	0.00	43	0.00
PhiX	6714734	6714734	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	6714734	6714724	100.00	0	0.00	0	0.00	1	0.00	9	0.00
Vectors	6714734	6659216	99.17	6	0.00	4	0.00	518	0.01	54990	0.82
Bacteria_24k	6714734	6528577	97.23	6556	0.10	10506	0.16	10969	0.16	158126	2.35
Protists_1k	6714734	6390853	95.18	20237	0.30	35906	0.53	8861	0.13	258877	3.86
Viruses	6714734	6551462	97.57	226	0.00	58	0.00	10090	0.15	152898	2.28
Fungi_RefSeq_release	6714734	6473346	96.41	3495	0.05	1112	0.02	16243	0.24	220538	3.28
Coral	6714734	6551188	97.56	430	0.01	101	0.00	12830	0.19	150185	2.24
Bird	6714734	6512696	96.99	2253	0.03	378	0.01	18543	0.28	180864	2.69
Plant	6714734	6530164	97.25	607	0.01	123	0.00	11956	0.18	171884	2.56

%Hit_no_genomes: 94.61
