#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	11827445	11458978	96.88	7727	0.07	2295	0.02	24015	0.20	334430	2.83
Ecoli	11827445	11827419	100.00	0	0.00	0	0.00	4	0.00	22	0.00
PhiX	11827445	11827445	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	11827445	11827281	100.00	0	0.00	0	0.00	40	0.00	124	0.00
Vectors	11827445	11766361	99.49	36	0.00	2	0.00	576	0.00	60470	0.51
Bacteria_24k	11827445	11573168	97.86	4495	0.04	6478	0.05	15898	0.13	227406	1.92
Protists_1k	11827445	11322471	95.73	31924	0.27	70251	0.59	10469	0.09	392330	3.32
Viruses	11827445	11593180	98.02	286	0.00	96	0.00	14818	0.13	219065	1.85
Fungi_RefSeq_release	11827445	11459060	96.88	5543	0.05	2029	0.02	26041	0.22	334772	2.83
Coral	11827445	11589498	97.99	661	0.01	210	0.00	18942	0.16	218134	1.84
Bird	11827445	11530015	97.48	4198	0.04	641	0.01	27088	0.23	265503	2.24
Plant	11827445	11562098	97.75	1002	0.01	252	0.00	18352	0.16	245741	2.08

%Hit_no_genomes: 95.35
