#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	20998326	18751871	89.30	32844	0.16	11177	0.05	117833	0.56	2084601	9.93
Ecoli	20998326	20998142	100.00	0	0.00	0	0.00	43	0.00	141	0.00
PhiX	20998326	20998326	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	20998326	20998322	100.00	0	0.00	0	0.00	0	0.00	4	0.00
Vectors	20998326	20705093	98.61	47	0.00	6	0.00	5025	0.02	288155	1.37
Bacteria_24k	20998326	19571988	93.22	51314	0.24	63099	0.30	105691	0.50	1206234	5.74
Protists_1k	20998326	18129094	86.34	114128	0.54	296294	1.41	62070	0.30	2396740	11.41
Viruses	20998326	19626659	93.47	1268	0.01	840	0.00	104540	0.50	1265019	6.02
Fungi_RefSeq_release	20998326	18806694	89.57	22043	0.10	9869	0.05	140766	0.67	2018954	9.61
Coral	20998326	19699133	93.81	2277	0.01	722	0.00	131629	0.63	1164565	5.55
Bird	20998326	19211185	91.49	19736	0.09	5607	0.03	179881	0.86	1581917	7.53
Plant	20998326	19305939	91.95	3948	0.02	949	0.00	112246	0.53	1575244	7.50

%Hit_no_genomes: 85.04
