Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	Snippy_mqc-generalstats-snippy-VariantTotal
Adu-AGui_001-Ex1-1A-lcwgs-1-1	1.61239	0.961441	21175930.0	0.450346	81.38628201095742	76.01546327654688	
Adu-AGui_002-Ex1-2A-lcwgs-1-1	2.02003	0.961547	56476857.0	0.444166	95.29935975911856	83.08699668532304	
Adu-AGui_003-Ex1-3A-lcwgs-1-1	2.97043	0.96211	110710904.0	0.442701	84.67015381185257	78.70932112147997	
Adu-AGui_004-Ex1-4A-lcwgs-1-1	1.47789	0.967775	131604497.0	0.407871	95.1787808256546	92.54138133414578	
Adu-AGui_005-Ex1-5A-lcwgs-1-1	2.89295	0.961243	131013071.0	0.467522	86.28330777493984	76.68570575612445	
Adu-AGui_006-Ex1-6A-lcwgs-1-1	1.12473	0.964917	62514433.0	0.417074	92.01901570017908	89.56725617255094	
Adu-AGui_007-Ex1-7A-lcwgs-1-1	4.09933	0.965034	684647904.0	0.403647	95.6712638422391	83.89771172279771	
Adu-AGui_008-Ex1-8A-lcwgs-1-1	4.8822	0.962119	292750568.0	0.446736	88.84197764567004	79.40404405639275	
Adu-AGui_009-Ex1-9A-lcwgs-1-1	2.35977	0.966894	103431221.0	0.416344	95.17507732849018	91.15391769028905	
Adu-AGui_010-Ex1-10A-lcwgs-1-1	2.2791200000000003	0.963665	110232065.0	0.420854	84.15270252166948	80.17231550654289	
Adu-AGui_011-Ex1-11A-lcwgs-1-1	2.30922	0.966311	363864489.0	0.41844	95.37261380649824	91.79114275592332	
Adu-AGui_012-Ex1-12A-lcwgs-1-1	2.38664	0.96487	14636403.0	0.43686	60.43409189658918	75.69689604605692	
Adu-AGui_013-Ex1-1B-lcwgs-1-1	2.06782	0.965451	264661919.0	0.439968	85.10877704767718	85.34934355163944	
Adu-AGui_014-Ex1-2B-lcwgs-1-1	2.44884	0.964158	530611753.0	0.433216	92.70682260886896	87.39975665501564	
Adu-AGui_015-Ex1-3B-lcwgs-1-1	5.01895	0.961919	188308324.0	0.438145	91.68736114221613	77.21548151568783	
Adu-AGui_016-Ex1-4B-lcwgs-1-1	1.89561	0.963836	71600483.0	0.453677	87.13166712344511	79.91055246616156	
Adu-AGui_017-Ex1-5B-lcwgs-1-1	3.2252099999999997	0.962683	255494502.0	0.453723	87.39690780549905	78.93988624402284	
Adu-AGui_018-Ex1-6B-lcwgs-1-1	1.83881	0.964614	272977518.0	0.443311	83.29159788847961	85.9727578311024	
Adu-AGui_019-Ex1-7B-lcwgs-1-1	2.4785600000000003	0.96657	822809039.0	0.414463	91.21488777823147	90.10993028179364	
Adu-AGui_020-Ex1-8B-lcwgs-1-1	2.09196	0.96518	104662506.0	0.439128	87.19435042436669	85.59726628095821	
Adu-AGui_021-Ex1-9B-lcwgs-1-1	3.6088099999999996	0.964279	221362129.0	0.440995	92.44136081772962	84.05487212346114	
Adu-AGui_022-Ex1-10B-lcwgs-1-1	1.71771	0.96483	268646900.0	0.438565	93.4375222142332	89.37227384016938	
Adu-AGui_023-Ex1-11B-lcwgs-1-1	1.9204700000000001	0.966273	169597875.0	0.429046	95.53944787730441	92.96071873784615	
Adu-AGui_024-Ex1-12B-lcwgs-1-1	2.1065400000000003	0.966787	32724862.0	0.423956	75.96611627428615	84.55485535837836	
Adu-AGui_025-Ex1-5C-lcwgs-1-1	1.50245	0.968109	246915788.0	0.417047	96.0910039808932	93.29682047002399	
Adu-AGui_026-Ex1-6C-lcwgs-1-1	2.8216	0.961453	680469571.0	0.444553	90.69471637032403	75.98843226642532	
Adu-AGui_027-Ex1-9C-lcwgs-1-1	2.59868	0.966927	1138950572.0	0.413034	95.06243438343964	89.73110424073042	
Adu-AGui_028-Ex1-10C-lcwgs-1-1	1.80237	0.963359	119068365.0	0.441422	92.11007572739265	85.53753215140974	
Adu-AGui_029-Ex1-11C-lcwgs-1-1	2.2401	0.964724	57312711.0	0.434953	69.06213435585099	79.990096476338	
Adu-AGui_030-Ex1-12C-lcwgs-1-1	3.48713	0.962061	101399364.0	0.457237	91.39356435643565	77.1734441301273	
Adu-AGui_031-Ex1-1C-lcwgs-1-1	1.5920400000000001	0.967513	142724033.0	0.425546	85.72753760511667	88.76475186545066	
Adu-AGui_032-Ex1-2C-lcwgs-1-1	1.97739	0.965879	1041656906.0	0.409928	95.30841954124594	89.40506122108793	
Adu-AGui_033-Ex1-3C-lcwgs-1-1	2.31116	0.964168	341866909.0	0.428077	94.9856482256011	88.04223500518827	
Adu-AGui_034-Ex1-4C-lcwgs-1-1	3.4130399999999996	0.9604	1826781266.0	0.471935	97.04702241339952	68.1367507173967	
Adu-AGui_035-Ex1-7C-lcwgs-1-1	2.5762899999999997	0.963158	621568941.0	0.460823	95.58648536145414	84.81071180796448	
Adu-AGui_036-Ex1-8C-lcwgs-1-1	1.44316	0.96729	217817594.0	0.429067	94.56089221163106	93.90404867680365	
Adu-AGui_037-Ex1-1D-lcwgs-1-1	2.24302	0.965691	1048348335.0	0.448856	90.82474205747695	86.33438588802518	
Adu-AGui_038-Ex1-2D-lcwgs-1-1	2.31572	0.963176	753713328.0	0.459918	95.08576596565914	85.42847151573922	
Adu-AGui_039-Ex1-3D-lcwgs-1-1	3.5251699999999997	0.962987	914266602.0	0.426959	91.52012968399411	82.54484488098831	
Adu-AGui_040-Ex1-4D-lcwgs-1-1	1.6046500000000001	0.957102	28041955.0	0.480251	91.54537547115106	55.67048419831835	
