#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	114177	111287	97.46	177	0.16	61	0.05	122	0.11	2530	2.22
Ecoli	114177	114173	100.00	0	0.00	0	0.00	2	0.00	2	0.00
PhiX	114177	114177	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	114177	114174	100.00	0	0.00	0	0.00	0	0.00	3	0.00
Vectors	114177	114092	99.93	0	0.00	0	0.00	11	0.01	74	0.06
Bacteria_24k	114177	111519	97.67	187	0.16	322	0.28	110	0.10	2039	1.79
Protists_1k	114177	110497	96.78	245	0.21	326	0.29	176	0.15	2933	2.57
Viruses	114177	112348	98.40	3	0.00	33	0.03	166	0.15	1627	1.42
Fungi_RefSeq_release	114177	111518	97.67	35	0.03	21	0.02	145	0.13	2458	2.15
Coral	114177	112273	98.33	7	0.01	2	0.00	87	0.08	1808	1.58
Bird	114177	111928	98.03	35	0.03	3	0.00	218	0.19	1993	1.75
Plant	114177	112525	98.55	13	0.01	6	0.01	122	0.11	1511	1.32

%Hit_no_genomes: 95.93
