#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1402385	1384777	98.75	615	0.04	157	0.01	930	0.07	15906	1.13
Ecoli	1402385	1402343	100.00	0	0.00	0	0.00	4	0.00	38	0.00
PhiX	1402385	1402385	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1402385	1402371	100.00	0	0.00	0	0.00	0	0.00	14	0.00
Vectors	1402385	1401470	99.94	4	0.00	1	0.00	48	0.00	862	0.06
Bacteria_24k	1402385	1365335	97.35	7484	0.53	8907	0.64	1221	0.09	19438	1.39
Protists_1k	1402385	1370762	97.74	3305	0.24	2159	0.15	4348	0.31	21811	1.56
Viruses	1402385	1390010	99.12	24	0.00	5	0.00	1015	0.07	11331	0.81
Fungi_RefSeq_release	1402385	1385023	98.76	312	0.02	77	0.01	1365	0.10	15608	1.11
Coral	1402385	1389203	99.07	49	0.00	12	0.00	734	0.05	12387	0.88
Bird	1402385	1387611	98.95	189	0.01	15	0.00	1392	0.10	13178	0.94
Plant	1402385	1390533	99.16	62	0.00	9	0.00	857	0.06	10924	0.78

%Hit_no_genomes: 96.43
