#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	319761	281677	88.08	23519	7.36	5461	1.71	312	0.10	8792	2.75
Ecoli	319761	319688	99.97	0	0.00	0	0.00	22	0.01	51	0.02
PhiX	319761	319761	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	319761	319760	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	319761	319592	99.95	1	0.00	0	0.00	6	0.00	162	0.05
Bacteria_24k	319761	279070	87.27	9362	2.93	16396	5.13	1513	0.47	13420	4.20
Protists_1k	319761	295187	92.30	2997	0.94	752	0.24	6670	2.09	14155	4.43
Viruses	319761	316434	98.96	97	0.03	106	0.03	549	0.17	2575	0.81
Fungi_RefSeq_release	319761	314536	98.36	133	0.04	48	0.02	1403	0.44	3641	1.14
Coral	319761	317150	99.19	1	0.00	1	0.00	142	0.04	2467	0.77
Bird	319761	316668	99.03	21	0.01	7	0.00	295	0.09	2770	0.87
Plant	319761	317425	99.27	4	0.00	0	0.00	154	0.05	2178	0.68

%Hit_no_genomes: 74.99
