#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	340573	334601	98.24	442	0.13	140	0.04	329	0.10	5061	1.49
Ecoli	340573	340506	99.98	0	0.00	0	0.00	13	0.00	54	0.02
PhiX	340573	340573	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	340573	340572	100.00	0	0.00	1	0.00	0	0.00	0	0.00
Vectors	340573	340315	99.92	0	0.00	0	0.00	19	0.01	239	0.07
Bacteria_24k	340573	299458	87.93	12085	3.55	13593	3.99	1157	0.34	14280	4.19
Protists_1k	340573	319172	93.71	2871	0.84	1111	0.33	5808	1.71	11611	3.41
Viruses	340573	336595	98.83	32	0.01	33	0.01	365	0.11	3548	1.04
Fungi_RefSeq_release	340573	334652	98.27	151	0.04	30	0.01	654	0.19	5086	1.49
Coral	340573	336497	98.81	24	0.01	4	0.00	285	0.08	3763	1.10
Bird	340573	335971	98.66	51	0.01	7	0.00	456	0.13	4088	1.20
Plant	340573	337053	98.98	16	0.00	3	0.00	320	0.09	3181	0.93

%Hit_no_genomes: 85.84
