#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	345097	340590	98.69	236	0.07	87	0.03	440	0.13	3744	1.08
Ecoli	345097	345097	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	345097	345097	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	345097	345097	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	345097	344948	99.95	1	0.00	0	0.00	20	0.01	128	0.04
Bacteria_24k	345097	341835	99.06	220	0.06	346	0.10	232	0.07	2464	0.71
Protists_1k	345097	338059	97.96	748	0.22	1183	0.34	312	0.09	4795	1.39
Viruses	345097	342861	99.35	21	0.01	31	0.01	304	0.09	1880	0.54
Fungi_RefSeq_release	345097	340757	98.74	142	0.04	64	0.02	501	0.15	3633	1.05
Coral	345097	342583	99.28	14	0.00	10	0.00	283	0.08	2207	0.64
Bird	345097	341828	99.05	84	0.02	21	0.01	479	0.14	2685	0.78
Plant	345097	342827	99.34	14	0.00	5	0.00	299	0.09	1952	0.57

%Hit_no_genomes: 97.53
