#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	10135332	9954586	98.21	14725	0.15	11605	0.11	11744	0.12	142672	1.41
Ecoli	10135332	10135329	100.00	0	0.00	0	0.00	0	0.00	3	0.00
PhiX	10135332	10135332	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	10135332	10135327	100.00	0	0.00	0	0.00	0	0.00	5	0.00
Vectors	10135332	10130525	99.95	11	0.00	1	0.00	592	0.01	4203	0.04
Bacteria_24k	10135332	10043237	99.09	1034	0.01	1388	0.01	9758	0.10	79915	0.79
Protists_1k	10135332	9908328	97.76	17114	0.17	33952	0.33	5989	0.06	169949	1.68
Viruses	10135332	10024537	98.91	382	0.00	17308	0.17	12159	0.12	80946	0.80
Fungi_RefSeq_release	10135332	9995081	98.62	3542	0.03	1689	0.02	15053	0.15	119967	1.18
Coral	10135332	10061890	99.28	577	0.01	222	0.00	8518	0.08	64125	0.63
Bird	10135332	10023704	98.90	5509	0.05	872	0.01	30070	0.30	75177	0.74
Plant	10135332	10055870	99.21	597	0.01	106	0.00	9944	0.10	68815	0.68

%Hit_no_genomes: 97.08
