#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	95874	94031	98.07	182	0.19	54	0.06	120	0.13	1487	1.55
Ecoli	95874	95873	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	95874	95874	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	95874	95874	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	95874	95817	99.94	0	0.00	0	0.00	3	0.00	54	0.06
Bacteria_24k	95874	93319	97.34	388	0.40	606	0.63	114	0.12	1447	1.51
Protists_1k	95874	93071	97.07	241	0.25	276	0.29	285	0.30	2001	2.09
Viruses	95874	94836	98.92	2	0.00	10	0.01	126	0.13	900	0.94
Fungi_RefSeq_release	95874	94215	98.27	30	0.03	13	0.01	140	0.15	1476	1.54
Coral	95874	94765	98.84	6	0.01	3	0.00	86	0.09	1014	1.06
Bird	95874	94555	98.62	24	0.03	4	0.00	144	0.15	1147	1.20
Plant	95874	94855	98.95	14	0.01	9	0.01	91	0.09	905	0.94

%Hit_no_genomes: 95.62
