#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1545333	1517802	98.21	1412	0.09	729	0.05	2436	0.16	22954	1.49
Ecoli	1545333	1545332	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	1545333	1545333	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1545333	1545329	100.00	0	0.00	0	0.00	0	0.00	4	0.00
Vectors	1545333	1544467	99.94	0	0.00	0	0.00	86	0.01	780	0.05
Bacteria_24k	1545333	1527915	98.88	503	0.03	943	0.06	1458	0.09	14514	0.94
Protists_1k	1545333	1503177	97.27	3775	0.24	7283	0.47	1314	0.09	29784	1.93
Viruses	1545333	1529766	99.00	35	0.00	1426	0.09	1914	0.12	12192	0.79
Fungi_RefSeq_release	1545333	1518111	98.24	761	0.05	359	0.02	2821	0.18	23281	1.51
Coral	1545333	1530251	99.02	122	0.01	39	0.00	1665	0.11	13256	0.86
Bird	1545333	1525189	98.69	578	0.04	130	0.01	3280	0.21	16156	1.05
Plant	1545333	1531091	99.08	129	0.01	26	0.00	1822	0.12	12265	0.79

%Hit_no_genomes: 96.73
