#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	459873	451962	98.29	287	0.06	107	0.02	608	0.13	6909	1.50
Ecoli	459873	459871	100.00	0	0.00	0	0.00	1	0.00	1	0.00
PhiX	459873	459873	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	459873	459872	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	459873	459419	99.91	0	0.00	0	0.00	22	0.00	432	0.09
Bacteria_24k	459873	454471	98.83	202	0.04	342	0.07	420	0.09	4438	0.97
Protists_1k	459873	447908	97.40	998	0.22	1845	0.40	375	0.08	8747	1.90
Viruses	459873	455564	99.07	11	0.00	48	0.01	561	0.12	3689	0.80
Fungi_RefSeq_release	459873	451898	98.27	185	0.04	106	0.02	697	0.15	6987	1.52
Coral	459873	455503	99.04	23	0.01	8	0.00	407	0.09	3932	0.86
Bird	459873	453870	98.69	161	0.04	34	0.01	888	0.19	4920	1.07
Plant	459873	455663	99.08	26	0.01	6	0.00	458	0.10	3720	0.81

%Hit_no_genomes: 97.00
