#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	759405	747357	98.42	609	0.08	310	0.04	1163	0.15	9966	1.31
Ecoli	759405	759404	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	759405	759405	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	759405	759404	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	759405	758930	99.93	0	0.00	0	0.00	53	0.01	422	0.06
Bacteria_24k	759405	752197	99.05	166	0.02	294	0.04	661	0.09	6087	0.80
Protists_1k	759405	740491	97.51	1767	0.23	3443	0.45	586	0.08	13118	1.73
Viruses	759405	752850	99.14	18	0.00	515	0.07	858	0.11	5164	0.68
Fungi_RefSeq_release	759405	747424	98.42	327	0.04	154	0.02	1329	0.18	10171	1.34
Coral	759405	752968	99.15	46	0.01	8	0.00	744	0.10	5639	0.74
Bird	759405	750692	98.85	236	0.03	55	0.01	1413	0.19	7009	0.92
Plant	759405	753177	99.17	40	0.01	9	0.00	824	0.11	5355	0.71

%Hit_no_genomes: 97.07
