Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Cvi-APal_001-Ex1-1A-lcwgs-1-T	66.75	53.7308	50.478699999999996	51.1159	52.8907	51.308600000000006	51.104000000000006	53.8579	52.91439999999999	51.0871	56.6501	55.850699999999996	55.2889	55.1948	53.8003	54.1178	54.934400000000004	53.949400000000004	54.408699999999996	55.0426	53.554199999999994	53.9505	54.3689	53.2107	53.7231	54.2308	53.1054	53.769800000000004	54.3353	53.146300000000004	53.751400000000004	54.4935	53.2898	53.791199999999996	54.506	53.338300000000004	53.6683	54.3817	53.2504	53.979600000000005	54.380399999999995	53.2812	53.826499999999996	54.557900000000004	53.43639999999999	53.8064	54.5606	53.426300000000005	53.992700000000006	54.1907	53.260799999999996	54.014300000000006	54.52439999999999	53.3497	53.91289999999999	54.3557	53.454	54.181999999999995	54.4021	53.5247	54.042	54.5207	53.6177	54.0847	54.5794	53.473499999999994	54.105000000000004	54.579	53.4757	54.1649	54.6001	53.6424	54.2611	54.729499999999994	53.8242	54.2717	54.5828	53.644099999999995	54.1014	54.835	53.734700000000004	54.2721	55.0382	53.789699999999996	54.304399999999994	55.0213	54.149499999999996	54.375099999999996	55.3783	53.9426	54.7782	55.1338	54.0331	54.680499999999995	55.3048	54.023900000000005	54.913900000000005	55.2841	54.22	54.7745	55.3276	54.2278	54.8253	55.432700000000004	54.5195	55.021	55.44369999999999	54.5529	55.1728	55.6962	54.6074	55.113800000000005	55.7809	54.431200000000004	55.0654	55.5415	54.787200000000006	55.2504	55.7335	54.8455	55.3202	55.8805	54.836200000000005	55.6179	56.0978	55.0617	55.7508	56.0508	55.04750000000001	55.6797	56.279500000000006	55.222899999999996	55.726299999999995	56.084	55.2513	55.6933	56.249	55.3971	55.889900000000004	56.250699999999995	55.370799999999996	56.106100000000005	56.217600000000004	55.1928	55.8335	56.1133	54.9218	55.2265	55.6706	55.602700000000006
Cvi-APal_002-Ex1-1B-lcwgs-1-T	59.2368	44.926899999999996	44.3555	43.8418	45.062000000000005	43.5588	43.4218	45.7867	45.1407	43.3162	48.6102	48.0089	46.9814	46.687200000000004	46.0509	46.1518	46.7497	46.008500000000005	46.3563	46.9382	46.0588	46.0708	46.4723	45.6049	45.9986	45.984	45.433800000000005	45.862700000000004	46.3773	45.597100000000005	45.9565	46.4454	45.609300000000005	45.8227	46.223	45.4295	45.843	45.9912	45.4641	45.8878	46.3323	45.6137	45.7889	46.2571	45.638600000000004	45.6603	46.1981	45.636700000000005	45.9353	46.1468	45.6949	45.9266	46.365	45.631699999999995	45.9589	46.4041	45.8009	45.9306	46.4324	45.7916	46.1961	46.5709	45.928799999999995	46.437400000000004	46.8698	46.0601	46.4927	46.875699999999995	46.2077	46.5896	47.2232	46.4974	46.852199999999996	47.2777	46.711200000000005	47.1712	47.5897	46.8905	47.3334	47.946	47.255	47.6365	48.2294	47.5227	47.9448	48.477599999999995	47.9307	48.2496	48.836800000000004	48.055	48.490899999999996	49.086600000000004	48.5754	48.9364	49.648900000000005	48.76	49.303200000000004	49.8591	49.1583	49.6394	50.331	49.6379	50.0062	50.7046	49.7588	50.316700000000004	51.0868	50.42569999999999	50.8502	51.48930000000001	50.5715	51.15070000000001	51.800000000000004	51.00749999999999	51.371199999999995	52.1832	51.4108	51.744800000000005	52.526399999999995	51.5087	52.138600000000004	52.7297	52.022999999999996	52.4798	53.091699999999996	52.2127	52.6613	53.400400000000005	52.5204	52.897000000000006	53.682300000000005	52.78810000000001	53.245799999999996	53.89000000000001	53.027100000000004	53.509499999999996	54.0982	53.2284	53.6555	54.4315	53.3911	53.867200000000004	54.494699999999995	53.386199999999995	53.9867	54.406600000000005	53.3799	53.825599999999994	54.2454	53.8214
Cvi-APal_003-Ex1-1C-lcwgs-1-T	55.238200000000006	40.7188	41.3641	40.0624	40.9774	39.5869	39.491	41.5547	40.9298	39.7941	44.3555	43.7063	42.7825	42.396899999999995	42.2985	42.0907	42.4352	42.1436	42.4339	42.866	42.341499999999996	42.5212	42.4254	42.0646	42.0815	41.893299999999996	41.5502	42.056	42.292699999999996	41.969699999999996	42.2494	42.477900000000005	41.9809	41.8925	42.2059	41.7176	41.8303	41.9724	41.8324	42.1088	42.2782	42.0133	42.079299999999996	42.1291	41.9741	41.8962	42.1576	42.1532	42.0385	42.1234	41.9007	41.9275	42.045700000000004	41.857699999999994	42.0277	42.2474	41.8805	41.891600000000004	42.2381	41.9547	42.211999999999996	42.381099999999996	42.0126	42.2647	42.4258	42.301899999999996	42.464	42.520799999999994	42.4043	42.2717	42.926700000000004	42.523300000000006	42.560900000000004	42.6593	42.6009	42.6185	42.9155	42.6989	43.1378	43.4165	42.9886	43.2918	43.4784	43.1438	43.4172	43.6734	43.3849	43.5049	43.8969	43.431999999999995	43.8835	44.1149	43.8481	44.099199999999996	44.586	44.1672	44.4116	44.7461	44.503	44.7533	45.2063	44.6778	45.3465	45.6468	45.190999999999995	45.537	46.0179	45.487	45.9327	46.494600000000005	45.9516	46.3222	46.9692	46.3829	46.9591	47.350300000000004	46.8307	47.0223	47.7583	47.2306	47.6282	48.1698	47.7546	48.1391	48.6515	48.107299999999995	48.6545	49.097	48.6648	48.953799999999994	49.5244	48.9105	49.538700000000006	50.0639	49.567299999999996	49.8873	50.5991	50.139100000000006	50.2726	51.0836	50.413399999999996	50.7564	51.2248	50.612	51.105900000000005	51.3853	50.676100000000005	50.9793	51.296	50.802499999999995
Cvi-APal_004-Ex1-1D-lcwgs-1-T	52.698100000000004	37.8241	38.6708	37.2326	37.7681	36.7748	36.3181	37.7812	37.5555	35.8817	40.6509	40.0195	39.0546	38.6874	38.638099999999994	38.5312	38.8117	38.6716	38.8518	38.9372	38.7284	38.6788	38.7698	38.4627	38.5822	38.4988	38.4834	38.666	38.6706	38.5777	38.6941	38.7151	38.6168	38.565	38.784600000000005	38.4947	38.556400000000004	38.5873	38.562999999999995	38.5011	38.6119	38.497	38.5883	38.5278	38.427099999999996	38.361000000000004	38.4564	38.3712	38.4505	38.5002	38.4072	38.3972	38.5669	38.3779	38.3994	38.5141	38.3865	38.4442	38.5636	38.4017	38.4255	38.512800000000006	38.3502	38.4252	38.4922	38.4561	38.547	38.586999999999996	38.4557	38.5269	38.5986	38.4249	38.4971	38.6395	38.537	38.4606	38.6308	38.504599999999996	38.7052	38.7449	38.6227	38.7044	38.7543	38.6118	38.7158	38.818200000000004	38.6496	38.7871	38.874399999999994	38.8342	38.865899999999996	38.9886	38.9144	38.931900000000006	39.204	38.931	39.0968	39.171	39.1349	39.1924	39.3816	39.2214	39.3506	39.5028	39.3681	39.4648	39.741	39.4411	39.734	39.89	39.7634	39.8973	40.0407	39.807500000000005	40.0985	40.2589	40.103699999999996	40.2503	40.5425	40.37	40.5182	40.7656	40.6177	40.758	41.0349	40.9458	41.0557	41.3392	41.162	41.2429	41.5692	41.4527	41.5226	42.0032	41.7661	41.746	42.234300000000005	42.044399999999996	42.358000000000004	42.7047	42.4768	42.659000000000006	43.14	42.793	43.0143	43.1185	42.78	42.8703	42.9374	42.2869
Cvi-APal_005-Ex1-1E-lcwgs-1-T	51.4305	38.4262	38.9217	37.250299999999996	38.162800000000004	37.1652	36.9352	38.3428	38.1668	37.573299999999996	40.884100000000004	40.5173	39.7074	39.3885	39.5256	39.278	39.4793	39.527699999999996	39.7545	39.8808	39.6631	39.853	39.5174	39.4837	39.4049	39.134	38.8811	39.2223	39.377	39.4251	39.3917	39.509100000000004	39.1863	39.0816	39.2484	38.8959	38.9863	39.0347	38.9726	39.1015	39.145799999999994	39.170899999999996	38.9719	38.9216	38.9227	38.778400000000005	38.812200000000004	38.9555	38.8314	38.768	38.6784	38.718	38.513	38.6653	38.6517	38.671499999999995	38.568799999999996	38.5517	38.5137	38.4666	38.581900000000005	38.6413	38.5111	38.4519	38.4908	38.770900000000005	38.642700000000005	38.6547	38.6387	38.3853	38.6723	38.5809	38.5525	38.3296	38.435399999999994	38.4454	38.4137	38.4474	38.6041	38.7423	38.5255	38.652	38.5906	38.588499999999996	38.58	38.487	38.512	38.3112	38.6457	38.289699999999996	38.5341	38.4939	38.4382	38.4861	38.5742	38.4289	38.5233	38.5203	38.4619	38.4732	38.6533	38.3388	38.9049	38.6976	38.5685	38.6391	38.5978	38.4587	38.68	38.927800000000005	38.75	38.7797	39.0512	38.9077	39.0772	39.0172	38.953199999999995	38.8019	39.0852	39.033	39.07	39.3671	39.3007	39.284	39.4608	39.3528	39.5721	39.6364	39.6913	39.663399999999996	40.0377	39.678799999999995	39.9309	40.050999999999995	40.1158	40.2092	40.259699999999995	40.246500000000005	40.6677	40.5184	40.6359	40.6743	40.9597	40.590900000000005	41.1036	41.1869	40.8042	41.0005	41.003099999999996	39.9372
Cvi-APal_006-Ex1-1F-lcwgs-1-T	58.5838	46.7047	44.749100000000006	44.529	46.0882	44.481300000000005	44.228	46.572	45.663199999999996	43.933299999999996	49.0627	48.341699999999996	47.352	47.4145	46.570499999999996	46.555400000000006	47.3587	46.5823	46.7692	47.510999999999996	46.4462	46.4099	46.9864	46.0819	46.2415	46.7179	45.6904	46.3388	46.7726	46.031	46.3453	46.9311	45.948499999999996	46.144	46.7291	46.0609	46.1752	46.5864	45.9003	46.1813	46.7999	45.9736	46.2256	46.7371	45.988800000000005	46.0428	46.7831	45.961	46.2115	46.7413	46.1132	46.1822	46.8105	45.9979	46.203	46.7676	46.056000000000004	46.1805	46.9352	46.0812	46.421800000000005	47.0136	46.2763	46.544000000000004	47.1184	46.4301	46.6492	47.2766	46.4264	46.7377	47.450399999999995	46.7526	47.0167	47.5363	46.8519	47.1431	47.7027	47.0136	47.3277	48.1284	47.4205	47.6462	48.4482	47.5634	47.883199999999995	48.639700000000005	47.867599999999996	48.1247	48.9442	48.1103	48.5041	49.1848	48.5724	48.8375	49.6455	48.627900000000004	48.94	49.809599999999996	49.099199999999996	49.3486	50.354	49.4365	49.7393	50.723600000000005	49.8265	50.2311	50.9576	49.9878	50.4875	51.5031	50.5919	50.888999999999996	51.7733	50.929	51.268100000000004	52.257	51.2286	51.5784	52.540699999999994	51.5691	51.9054	52.7374	51.767799999999994	52.3784	53.36	52.34609999999999	52.635600000000004	53.670399999999994	52.6321	52.9702	53.862	52.7423	53.2026	54.167100000000005	53.20740000000001	53.6284	54.620400000000004	53.3778	53.7466	54.908699999999996	53.8306	54.295300000000005	54.888999999999996	53.7993	54.1177	54.9022	53.7845	53.991299999999995	54.6606	54.3589
Cvi-APal_007-Ex1-1G-lcwgs-1-T	60.480900000000005	47.4589	46.0422	45.5473	47.2651	45.9974	45.7813	48.2794	47.6412	45.5503	50.95190000000001	50.489200000000004	49.4768	49.1361	48.4689	48.5701	49.1862	48.4858	48.6987	49.3265	48.379	48.293	48.6691	48.0182	48.2569	48.5802	47.996100000000006	48.2513	48.8992	48.2711	48.3662	48.803000000000004	48.1252	48.1472	48.653600000000004	48.0578	48.245900000000006	48.58	48.064499999999995	48.3699	48.8996	47.862100000000005	48.2863	48.6547	48.0893	48.1939	48.5673	48.0315	48.4136	48.7031	48.1924	48.262699999999995	48.744	48.0173	48.2327	48.932900000000004	48.0605	48.2863	48.7809	48.2172	48.5098	48.8549	48.121900000000004	48.3921	48.835	48.2141	48.4831	48.8992	48.3173	48.4645	49.0232	48.3066	48.6518	48.8485	48.1759	48.6239	49.047000000000004	48.351499999999994	48.8385	49.382799999999996	48.5812	48.8735	49.235299999999995	48.5311	48.9764	49.2686	48.5351	48.964999999999996	49.5042	48.8256	49.15	49.622	48.9641	49.2443	49.6113	49.0242	49.314099999999996	49.924800000000005	49.1596	49.4915	49.9934	49.245400000000004	49.501	50.1764	49.4317	49.7631	50.088100000000004	49.436	49.8152	50.4574	49.7213	50.035799999999995	50.4586	49.9609	50.050799999999995	50.657	49.9681	50.273999999999994	50.7248	50.108	50.549	50.9178	50.19050000000001	50.539100000000005	51.052200000000006	50.4382	50.630399999999995	51.2269	50.435399999999994	50.582899999999995	51.266	50.593500000000006	50.9193	51.40169999999999	50.9	51.175599999999996	51.639500000000005	50.8512	51.164500000000004	51.673500000000004	50.938700000000004	51.4146	51.7478	50.8826	51.3235	51.69820000000001	50.669399999999996	50.9888	51.4069	50.9103
Cvi-APal_008-Ex1-1H-lcwgs-1-T	63.547799999999995	49.993900000000004	48.2857	48.7032	49.9951	48.512	48.0973	50.925399999999996	50.039199999999994	47.856300000000005	53.8718	53.1163	52.17190000000001	52.006699999999995	51.0945	51.2326	51.9745	51.0413	51.4112	51.92909999999999	50.8702	51.0946	51.5223	50.579499999999996	51.0304	51.3261	50.6366	51.1297	51.632	50.605500000000006	51.07000000000001	51.7695	50.836400000000005	50.9374	51.5312	50.670700000000004	51.0667	51.316399999999994	50.6039	51.055499999999995	51.5683	50.6308	51.0356	51.5413	50.657700000000006	50.9447	51.619899999999994	50.7234	51.183	51.5218	50.805	51.0679	51.67040000000001	50.7498	51.074799999999996	51.6297	50.8374	51.188	51.599799999999995	50.7787	51.2984	51.729099999999995	50.88	51.3405	51.763000000000005	50.9544	51.3443	51.8487	51.031499999999994	51.371900000000004	52.0197	51.0852	51.469	51.90559999999999	51.2146	51.659	52.229099999999995	51.296	51.8172	52.2471	51.329800000000006	51.8386	52.3354	51.576	51.958000000000006	52.8235	51.6597	52.1477	52.701600000000006	51.88	52.476299999999995	52.8704	52.0026	52.446400000000004	53.2047	52.16	52.623	53.2651	52.457	52.7	53.515100000000004	52.5276	53.052	53.5597	52.63870000000001	53.0841	53.9455	52.88119999999999	53.265499999999996	54.0269	53.09739999999999	53.5247	54.01049999999999	53.2403	53.4862	54.281	53.26349999999999	53.6539	54.444	53.454800000000006	53.80049999999999	54.5114	53.6337	54.0211	54.7201	53.814099999999996	54.252199999999995	54.825599999999994	53.8133	54.34759999999999	54.9988	53.97690000000001	54.412000000000006	55.1207	54.140600000000006	54.5865	55.248	54.376000000000005	54.6721	55.2446	54.271800000000006	54.5967	55.2994	54.1944	54.7165	55.062999999999995	53.991699999999994	54.29540000000001	54.8575	54.735299999999995
Cvi-APal_009-Ex1-2A-lcwgs-1-T	66.44210000000001	53.964800000000004	50.126099999999994	50.666599999999995	52.23100000000001	50.903299999999994	50.768800000000006	53.39469999999999	52.3091	50.9246	56.200300000000006	55.252900000000004	54.6644	54.569599999999994	53.1223	53.59310000000001	54.443799999999996	53.2004	53.6322	54.2477	52.856700000000004	53.3273	53.873400000000004	52.5242	53.122400000000006	53.5741	52.534499999999994	53.116699999999994	53.9627	52.7619	53.1953	53.8019	52.4791	53.1033	53.8647	52.6039	53.227000000000004	53.624700000000004	52.4631	53.127500000000005	53.8878	52.641400000000004	53.28190000000001	53.8195	52.701	53.2734	53.8049	52.724000000000004	53.262100000000004	53.8791	52.6437	53.148700000000005	53.7893	52.6259	53.2798	53.8902	52.7551	53.3115	53.900099999999995	52.7172	53.3445	53.9383	52.876599999999996	53.490300000000005	54.09310000000001	52.8768	53.4525	54.069100000000006	52.825900000000004	53.547599999999996	54.169900000000005	53.0324	53.7211	54.237500000000004	53.1813	53.811699999999995	54.3399	53.1062	53.7798	54.4506	53.219300000000004	54.0305	54.525	53.3725	54.1727	54.751799999999996	53.6102	54.192099999999996	54.8195	53.632999999999996	54.381299999999996	54.80350000000001	53.8346	54.4656	55.3229	54.003299999999996	54.705099999999995	55.258700000000005	54.2158	54.8426	55.4222	54.2081	55.038	55.735299999999995	54.412099999999995	55.2493	55.7535	54.589200000000005	55.3674	56.1462	54.90540000000001	55.525400000000005	56.1427	55.0566	55.6764	56.2365	55.056099999999994	55.977900000000005	56.4522	55.311299999999996	56.0095	56.484500000000004	55.3792	56.1647	56.80650000000001	55.6095	56.3581	57.00769999999999	55.9427	56.301500000000004	57.017799999999994	55.9541	56.532199999999996	57.1975	56.1548	56.8438	57.4888	56.1615	56.816199999999995	57.462	56.1326	56.8788	57.444700000000005	56.0878	56.97	57.56869999999999	56.1017	56.4978	57.190799999999996	56.730599999999995
Cvi-APal_010-Ex1-2B-lcwgs-1-T	62.6394	49.7866	47.6931	47.6143	49.059999999999995	47.6231	47.3176	50.0827	49.107299999999995	46.977799999999995	52.82130000000001	52.0613	50.9257	50.7887	49.6906	50.0112	50.5956	49.7144	50.0791	50.661100000000005	49.5421	49.7607	50.1572	49.3055	49.6737	50.0067	49.0029	49.523	50.046	49.2379	49.5987	50.2749	49.25	49.4713	50.0367	49.1756	49.446	49.882	49.0754	49.5024	50.1182	49.172700000000006	49.591499999999996	49.934200000000004	49.2085	49.4957	49.9593	49.241299999999995	49.477	50.120200000000004	49.2534	49.6735	50.2228	49.3473	49.6386	50.196200000000005	49.399100000000004	49.661699999999996	50.3011	49.3257	49.7234	50.387499999999996	49.593900000000005	49.9409	50.47859999999999	49.5713	49.9156	50.580400000000004	49.812400000000004	50.109700000000004	50.690900000000006	49.8371	50.2767	50.8392	49.9708	50.372499999999995	50.9906	50.127	50.439299999999996	51.3003	50.336499999999994	50.604400000000005	51.2999	50.4752	50.98780000000001	51.491200000000006	50.690900000000006	51.1634	51.85920000000001	50.917699999999996	51.3498	52.039	51.1599	51.566100000000006	52.2392	51.374900000000004	51.7629	52.432	51.614599999999996	51.907000000000004	52.7127	51.7964	52.3211	52.90899999999999	51.936800000000005	52.522999999999996	53.164	52.3052	52.666500000000006	53.430200000000006	52.548399999999994	52.8791	53.616200000000006	52.67810000000001	53.0605	53.93130000000001	52.9646	53.51010000000001	53.9937	53.059999999999995	53.534800000000004	54.242900000000006	53.4231	53.8678	54.417300000000004	53.6178	53.951899999999995	54.69690000000001	53.6543	54.1513	54.8682	53.883	54.286	55.057100000000005	54.1169	54.4919	55.0928	54.0687	54.4858	55.2837	54.29540000000001	54.807300000000005	55.3925	54.092	54.7133	55.2403	54.3072	54.47149999999999	55.095499999999994	54.764100000000006
