Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Cha-APnd_001-Ex1-1A-lcwgs-1-1	47.293400000000005	31.355100000000004	33.040000000000006	38.777699999999996	39.8453	37.6353	31.445800000000002	31.4674	38.3604	32.365899999999996	40.360099999999996	40.0256	32.993	39.2697	32.4469	40.1025	39.0951	33.859	39.5112	33.5839	41.194900000000004	34.5499	33.707	39.2437	33.4579	39.346199999999996	39.1389	34.449400000000004	39.801199999999994	34.2805	39.734	33.699200000000005	39.7808	33.7218	39.9741	40.3456	34.5798	32.988299999999995	33.1586	39.7412	40.8213	33.9129	34.2177	39.7281	33.149699999999996	40.2903	39.0801	33.8364	34.048	34.7489	39.9955	39.9361	39.873	39.975899999999996	33.3226	39.868900000000004	34.2689	34.2258	40.5096	34.3302	40.0404	39.3881	33.622099999999996	34.860400000000006	40.6543	33.7979	34.5041	35.051500000000004	34.8264	35.2873	35.7296	38.4288	38.3472	39.463	39.623799999999996	40.0407	41.504200000000004	40.8433	41.8082	41.8379	42.3665	42.296299999999995	43.0509	43.0825	43.4841	43.82	43.6717	44.7159	44.6192	44.5143	45.2038	45.133	45.5953	45.929199999999994	46.2049	45.8732	46.3363	46.2932	46.5113	47.0026	47.1455	47.2777	47.470800000000004	47.5235	47.190799999999996	47.9821	47.7996	47.9229	48.2332	47.9184	48.196600000000004	48.1754	48.547000000000004	48.4121	48.3518	48.4684	48.3358	48.546099999999996	48.5925	48.5288	48.6078	48.4694	48.513	48.6886	48.1931	48.0932	48.1233	47.990500000000004	48.1366	47.8055	47.664899999999996	47.4527	47.3778	47.2075	47.0881	47.0873	46.7548	46.7377	46.6704	46.450599999999994	46.504400000000004	46.3092	46.3788	46.4219	46.3465	46.1705	46.379	46.3365	46.5536	46.3922
Cha-APnd_002-Ex1-1B-lcwgs-1-1	56.69030000000001	25.353900000000003	25.7529	53.2657	53.5096	52.19160000000001	24.8621	25.6637	52.6347	26.485999999999997	53.8879	53.505	26.5729	52.783199999999994	26.5747	53.9354	52.6755	27.356599999999997	52.7647	27.114300000000004	53.9631	27.319100000000002	27.4395	52.811600000000006	27.4455	53.4588	52.7868	28.0924	53.0636	27.838600000000003	52.9232	27.676699999999997	53.1995	27.674100000000003	53.8636	53.4881	27.589599999999997	26.293	27.0197	53.5396	53.8512	27.070499999999996	27.8192	53.061400000000006	27.6065	53.8888	52.6778	26.896700000000003	27.034200000000002	28.046100000000003	53.757200000000005	53.799699999999994	53.612700000000004	53.346700000000006	27.433600000000002	53.1413	27.436500000000002	27.9673	53.5333	28.0035	53.77760000000001	52.7879	26.642900000000004	28.042099999999998	53.577	27.0371	27.205800000000004	27.5027	27.237099999999998	27.722599999999996	28.262700000000002	40.3497	39.8455	42.0749	42.859199999999994	43.9315	45.9576	44.819700000000005	45.807199999999995	45.053599999999996	46.474900000000005	46.485	46.6205	47.0425	47.6756	47.6955	47.971599999999995	48.928399999999996	48.4672	48.4247	48.7977	49.7218	49.8092	50.20099999999999	50.74530000000001	49.8614	50.3626	49.947900000000004	50.319	51.06889999999999	50.886900000000004	51.619099999999996	51.4473	51.086	50.9381	51.7668	51.265899999999995	51.1973	51.6911	51.3822	51.37930000000001	51.5308	52.1077	51.9137	51.7223	51.9824	51.82	51.9521	51.7817	51.94990000000001	52.0567	51.9472	52.0366	52.0016	51.8272	51.7706	51.7019	51.729499999999994	51.8381	51.583	51.480199999999996	51.466	51.1172	51.0587	50.98819999999999	51.0007	50.766999999999996	50.801700000000004	50.590900000000005	50.3621	50.415699999999994	50.1344	50.133399999999995	50.1978	50.07430000000001	49.9672	50.0729	50.065000000000005	50.0797	49.9776
Cha-APnd_003-Ex1-1C-lcwgs-1-1	50.197	37.7279	37.9293	40.7643	41.631099999999996	40.6477	36.4811	37.6218	42.0776	37.6059	44.1659	43.8265	38.6128	42.707899999999995	38.0591	43.1916	42.370799999999996	39.0945	42.9323	38.940799999999996	43.7855	39.2603	39.1526	42.3825	38.8621	42.591699999999996	42.3173	39.2414	42.809999999999995	39.3442	42.7881	38.86	42.7878	38.8183	42.7897	43.2071	39.2293	38.66	38.6166	42.6402	43.4411	38.7615	39.2848	42.9691	38.5231	43.1685	42.465599999999995	39.207	39.3235	39.8317	43.629200000000004	43.7878	43.5669	43.8517	39.578	43.669999999999995	40.1364	40.4035	44.744	40.8739	44.8654	44.5453	40.8119	41.5137	45.5535	41.5726	41.8987	42.3721	42.3902	42.8602	43.2102	45.163	45.1706	45.821600000000004	46.132	46.549600000000005	47.1832	47.1271	47.3974	47.5543	47.964800000000004	47.993900000000004	48.3736	48.3977	48.726	48.9334	48.993700000000004	49.4099	49.2587	49.4112	49.675399999999996	49.765100000000004	49.9753	50.010200000000005	50.214999999999996	50.02140000000001	50.0485	50.148199999999996	50.1047	50.275999999999996	50.2253	50.23030000000001	50.277300000000004	50.124199999999995	49.8888	49.973	49.7519	49.6924	49.6175	49.4737	49.3981	49.2062	49.187599999999996	48.9532	48.821999999999996	48.661100000000005	48.443799999999996	48.3455	48.1871	48.0288	47.8308	47.6435	47.5001	47.3334	47.073	46.9191	46.7127	46.6527	46.537099999999995	46.4386	46.2718	46.2135	46.1419	46.130500000000005	46.0875	46.1057	46.0349	46.1184	46.085300000000004	46.2366	46.367000000000004	46.374700000000004	46.6276	46.8221	46.903800000000004	47.1011	47.2776	47.5644	47.761700000000005	47.9538
Cha-APnd_004-Ex1-1D-lcwgs-1-1	49.153000000000006	36.3679	37.7675	41.0164	41.4171	40.3437	35.741299999999995	36.7273	41.3709	36.7933	43.295	43.0105	37.791599999999995	42.0716	37.2531	42.5138	41.8534	38.1479	42.2709	38.0489	43.2715	38.460100000000004	38.3394	42.0079	38.0969	42.0135	41.8915	38.5651	42.436	38.5809	42.5703	38.264399999999995	42.4681	38.1947	42.5469	42.8161	38.5985	37.9093	37.928	42.3147	43.023	38.0602	38.5204	42.4364	37.7796	42.6969	41.7808	38.136900000000004	38.2857	38.7219	42.683	42.6104	42.4924	42.7107	38.0957	42.4523	38.4812	38.7252	43.1115	38.7604	43.102000000000004	42.5686	38.602599999999995	39.2747	43.4357	39.0002	39.3024	39.7427	39.6667	40.051500000000004	40.3792	42.3265	42.4015	43.1017	43.378699999999995	43.782900000000005	44.5452	44.3828	44.8403	44.9784	45.4086	45.4327	46.0532	46.1252	46.3831	46.6421	46.6802	47.3394	47.2017	47.3466	47.8123	47.8508	48.2001	48.2682	48.452400000000004	48.3871	48.4692	48.6458	48.7288	49.0372	49.0499	49.2448	49.3037	49.235099999999996	49.2155	49.453599999999994	49.4343	49.4785	49.5071	49.4343	49.5777	49.4978	49.6394	49.5369	49.4383	49.3884	49.3152	49.3298	49.2093	49.2074	48.9946	48.9427	48.905300000000004	48.7187	48.5001	48.3303	48.0748	47.997299999999996	47.8274	47.6981	47.4401	47.3208	47.0956	46.9888	46.882200000000005	46.7183	46.5098	46.4857	46.3036	46.3555	46.3324	46.1421	46.1974	46.1999	46.2486	46.208	46.299	46.3879	46.5271	46.5617
Cha-APnd_005-Ex1-1E-lcwgs-1-1	49.6115	35.9906	36.5001	39.9185	40.7114	39.4453	34.827000000000005	35.586400000000005	40.705000000000005	35.9707	42.7304	42.577	36.94	41.675200000000004	36.492599999999996	42.0432	41.5164	37.5922	42.1055	37.4748	42.957499999999996	37.8255	37.5556	41.5353	37.3643	41.619299999999996	41.5219	37.876599999999996	42.0958	37.892399999999995	41.9304	37.3913	41.8441	37.3849	41.9707	42.2753	37.9155	37.222699999999996	37.1781	41.7217	42.550900000000006	37.3691	37.718	41.9482	37.066500000000005	42.200900000000004	41.6097	37.672	37.8797	38.3394	42.4657	42.6958	42.5856	42.8448	37.9363	42.609399999999994	38.5741	38.7564	43.613800000000005	39.1419	43.66	43.2705	39.0203	39.6412	44.2179	39.5819	39.9782	40.4327	40.3966	40.913199999999996	41.1962	43.361	43.3556	44.0925	44.3951	44.7446	45.5886	45.387499999999996	45.8588	45.9546	46.3343	46.3576	46.8298	46.9547	47.2253	47.381499999999996	47.535	48.052499999999995	47.963499999999996	48.022999999999996	48.3502	48.450700000000005	48.7133	48.800900000000006	49.038900000000005	48.8686	48.9699	49.0525	49.1638	49.3071	49.332	49.411699999999996	49.3602	49.2817	49.1548	49.3309	49.221199999999996	49.1552	49.0929	48.9367	48.9846	48.8467	48.869	48.687999999999995	48.5618	48.489599999999996	48.355399999999996	48.3558	48.2365	48.1408	47.8913	47.855799999999995	47.8217	47.692499999999995	47.4009	47.3021	47.2033	47.1757	47.0054	46.958299999999994	46.8222	46.7473	46.6584	46.7187	46.6654	46.605999999999995	46.503	46.6361	46.5178	46.6167	46.73	46.719699999999996	46.8586	47.043600000000005	47.0706	47.263	47.3237	47.6113	47.8053	47.891099999999994
Cha-APnd_006-Ex1-1F-lcwgs-1-1	51.004400000000004	29.0732	28.8954	47.4497	47.4888	45.892300000000006	28.057	28.9776	46.3953	29.8315	47.5485	47.2571	29.696499999999997	46.4774	29.414800000000003	47.632600000000004	46.4486	30.212	46.2156	29.966900000000003	48.0903	30.5026	30.7901	46.5469	30.534299999999998	47.248200000000004	46.5523	31.198700000000002	47.0536	31.0936	46.7682	30.941999999999997	47.3029	30.7272	47.5334	47.4686	31.1983	29.666199999999996	30.2773	47.1972	48.005199999999995	30.830800000000004	31.055100000000003	47.1801	30.6954	47.9199	46.5952	30.3197	30.6315	31.285899999999998	47.977	47.313100000000006	47.4739	47.2237	30.663	47.0261	30.98	31.4643	47.3844	30.9583	47.273900000000005	46.4859	30.1217	31.433	47.5491	30.4759	30.7116	31.025599999999997	30.8059	30.9917	31.392500000000002	39.2256	39.2213	40.7495	41.293	41.9715	43.5186	42.82	43.730000000000004	43.143	44.3269	44.115700000000004	44.8608	45.244800000000005	45.4279	45.724399999999996	45.8633	46.7562	46.545700000000004	46.4146	47.133199999999995	47.5085	47.7469	48.206500000000005	48.5872	47.9898	48.255700000000004	48.179	48.713	49.155	49.1147	49.6271	49.5156	49.4295	49.248799999999996	49.9237	49.716100000000004	49.7025	50.0668	49.9296	50.123	50.10170000000001	50.4583	50.35849999999999	50.2194	50.50130000000001	50.28399999999999	50.4424	50.3507	50.502	50.5332	50.477799999999995	50.6836	50.6739	50.412	50.321400000000004	50.166	50.2383	50.200599999999994	50.1547	49.912800000000004	49.837399999999995	49.5017	49.582	49.4284	49.3263	49.1797	48.977	48.7672	48.756899999999995	48.7894	48.598	48.3861	48.5215	48.2744	48.3673	48.2168	48.3397	48.4563	48.337799999999994
Cha-APnd_007-Ex1-1G-lcwgs-1-1	49.3656	37.8054	37.4313	39.0867	39.941500000000005	38.7177	36.0147	37.062200000000004	40.219899999999996	37.2342	42.296299999999995	41.9773	38.1886	40.8889	37.562400000000004	41.4533	40.8686	38.7326	41.5766	38.5477	42.314800000000005	38.881	38.8416	40.8394	38.5293	40.9488	40.7065	39.0201	41.418	38.9828	41.1703	38.5449	41.2263	38.4596	40.9938	41.5674	38.917	38.3388	38.366299999999995	41.0326	41.8587	38.5232	38.8831	41.3089	38.0518	41.454800000000006	40.878	39.0461	39.1272	39.6137	42.0548	42.2917	42.1365	42.520599999999995	39.2335	42.196600000000004	39.9937	40.2146	43.4716	40.745	43.6067	43.1494	40.6961	41.4411	44.1367	41.4765	41.7307	42.2858	42.3639	42.792	43.038900000000005	44.3856	44.3578	45.0594	45.3103	45.5503	46.245799999999996	46.0849	46.5524	46.6345	46.948499999999996	47.0699	47.3215	47.463100000000004	47.6837	47.8572	47.9991	48.3129	48.4203	48.4594	48.647400000000005	48.8275	48.891600000000004	49.1659	49.2642	49.0526	49.2918	49.1313	49.3676	49.358200000000004	49.242799999999995	49.3404	49.2192	49.231	48.9944	49.0965	48.957699999999996	48.729499999999994	48.720400000000005	48.4863	48.5309	48.295300000000005	48.2742	48.121199999999995	47.8934	47.977199999999996	47.6238	47.6721	47.452600000000004	47.321600000000004	47.1604	47.085100000000004	47.0034	46.8777	46.6964	46.4377	46.449600000000004	46.335100000000004	46.354800000000004	46.2707	46.1903	46.299800000000005	45.9548	46.1596	46.214499999999994	46.2926	46.214499999999994	46.3378	46.2824	46.5828	46.662	46.8074	46.894000000000005	47.1181	47.2865	47.4161	47.673	47.877900000000004	48.123599999999996	48.3754
Cha-APnd_008-Ex1-1H-lcwgs-1-1	51.111799999999995	35.9338	37.2962	40.597100000000005	41.6583	40.245599999999996	35.8077	36.7684	41.753	36.8732	44.2012	43.825599999999994	38.1957	42.731700000000004	37.7425	43.2857	42.6128	38.8003	43.1726	38.8097	44.1176	39.2811	39.042100000000005	42.5935	38.7519	42.7986	42.7743	39.409	43.310700000000004	39.373799999999996	43.2688	38.8357	43.2642	38.9163	43.2868	43.5836	39.4186	38.7249	38.643899999999995	43.1879	43.8445	38.853	39.260400000000004	43.174600000000005	38.4583	43.351299999999995	42.7492	38.9872	39.1432	39.644600000000004	43.665	43.645	43.518	43.6791	38.7841	43.3406	39.341300000000004	39.679199999999994	44.2496	39.8496	44.219500000000004	43.7116	39.513799999999996	40.3271	44.633	40.0194	40.4877	41.0219	40.850500000000004	41.355	41.6094	43.6274	43.6203	44.4531	44.7551	45.046	45.8754	45.704499999999996	46.1447	46.228	46.669	46.696	47.068	47.258	47.5278	47.6953	47.784	48.3047	48.2549	48.337799999999994	48.6698	48.7507	48.9611	49.1066	49.344	49.122	49.3087	49.3433	49.4251	49.728	49.742599999999996	49.877500000000005	49.872699999999995	49.8607	49.7061	49.9561	49.8402	49.8421	49.8954	49.8044	49.8097	49.730000000000004	49.8624	49.532	49.509100000000004	49.4919	49.3382	49.336	49.1046	49.010799999999996	48.7603	48.7111	48.5392	48.3724	48.098200000000006	47.866	47.7514	47.5934	47.5005	47.347	47.1128	46.944	46.7637	46.789199999999994	46.6284	46.618700000000004	46.5353	46.4736	46.3472	46.4729	46.4736	46.4709	46.476800000000004	46.5389	46.6565	46.7304	46.862500000000004	47.0463	47.111999999999995	47.179700000000004
Cha-APnd_009-Ex1-2A-lcwgs-1-1	50.328399999999995	34.1976	34.8566	42.0989	42.506699999999995	41.284	32.8347	33.8976	42.5961	33.7444	44.1769	43.8961	34.3775	42.9364	33.8143	43.518699999999995	42.593199999999996	34.9138	43.1243	34.7543	43.9713	34.8995	34.9122	42.6766	34.5576	42.6832	42.411500000000004	35.1769	43.091499999999996	35.159600000000005	42.9737	34.8872	43.142	42.8211	34.68	43.278800000000004	35.369	42.8521	34.3635	34.510600000000004	43.607099999999996	34.615	35.2286	43.104	34.5467	43.388	42.526	34.9174	35.167300000000004	35.7284	43.816500000000005	43.8936	43.8101	43.9494	35.2765	43.7533	35.747800000000005	36.2468	44.7458	36.5135	44.8636	44.2992	36.255500000000005	37.056400000000004	45.3096	36.8867	37.3251	37.7284	37.7151	38.2461	38.615100000000005	42.6691	42.498599999999996	43.4129	44.101	44.1656	45.3154	45.137899999999995	45.9553	45.7609	45.9992	46.423700000000004	46.631699999999995	46.868500000000004	47.2977	47.5498	47.6364	48.181200000000004	47.9972	48.1143	48.493	48.8537	49.0763	49.133900000000004	49.448100000000004	49.0762	49.357299999999995	49.3541	49.4307	49.797599999999996	49.6744	49.9859	49.8797	49.7228	49.598	49.8776	49.7081	49.5848	49.603	49.624	49.466	49.422399999999996	49.5963	49.356	49.2938	49.147400000000005	49.048	49.0889	48.9041	48.9377	48.693	48.7083	48.5265	48.3944	48.2676	48.023700000000005	48.0471	47.9459	47.848800000000004	47.6973	47.4679	47.464099999999995	47.316599999999994	47.3031	47.2757	47.145700000000005	47.1121	47.1571	47.056799999999996	47.1487	47.1098	47.1328	47.2244	47.2722	47.438900000000004	47.4781	47.625499999999995	47.714	47.858200000000004	47.9486
Cha-APnd_010-Ex1-2B-lcwgs-1-1	50.4108	36.1993	36.4343	41.5244	42.0537	40.9263	34.4615	35.8114	42.4659	35.6028	44.2216	43.8504	36.3725	42.8334	35.8947	43.3085	42.6864	36.8804	43.018299999999996	36.7859	43.830999999999996	36.924	36.9715	42.6461	36.7	42.6346	42.4266	37.0787	43.006	37.150800000000004	42.824400000000004	36.9356	43.0428	42.8689	36.6919	43.194700000000005	37.2679	42.9813	36.405	36.462	43.409	36.6167	37.167899999999996	43.071	36.3889	43.2729	42.4572	36.7707	36.983700000000006	37.601600000000005	43.5355	43.6032	43.4752	43.7551	37.0368	43.4291	37.4757	37.8978	44.3453	38.163799999999995	44.541399999999996	44.0324	37.933099999999996	38.6031	44.9308	38.5842	38.9819	39.3544	39.381699999999995	39.9911	40.2015	43.353199999999994	43.186400000000006	43.9245	44.6351	44.7755	45.637899999999995	45.608900000000006	46.253899999999994	46.1467	46.4287	46.753099999999996	47.0749	47.1811	47.5447	47.929899999999996	47.8473	48.456900000000005	48.3452	48.4362	48.8409	48.9869	49.2451	49.2348	49.5967	49.3337	49.4234	49.644	49.638	49.864999999999995	49.882	50.0143	50.0868	49.8472	49.815599999999996	50.0359	49.865500000000004	49.877	49.7451	49.776199999999996	49.7179	49.6207	49.7714	49.5649	49.506499999999996	49.4204	49.241600000000005	49.2894	48.9941	48.9873	48.7461	48.6101	48.5608	48.3344	48.158	47.9353	47.7332	47.7289	47.464	47.389399999999995	47.294599999999996	47.0038	47.0715	46.8665	46.8387	46.848800000000004	46.6826	46.6646	46.610800000000005	46.6388	46.6451	46.657199999999996	46.8338	46.8359	46.8987	47.0834	47.138999999999996	47.3048	47.5465	47.4901
