#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1014391	1001072	98.69	672	0.07	187	0.02	1556	0.15	10904	1.07
Ecoli	1014391	1014390	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	1014391	1014391	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1014391	1014382	100.00	0	0.00	0	0.00	0	0.00	9	0.00
Vectors	1014391	1012814	99.84	3	0.00	0	0.00	257	0.03	1317	0.13
Bacteria_24k	1014391	1007164	99.28	292	0.03	278	0.03	890	0.09	5767	0.57
Protists_1k	1014391	996377	98.23	2053	0.20	2372	0.23	927	0.09	12662	1.25
Viruses	1014391	1007958	99.37	23	0.00	6	0.00	1097	0.11	5307	0.52
Fungi_RefSeq_release	1014391	1002369	98.81	458	0.05	102	0.01	1725	0.17	9737	0.96
Coral	1014391	1006904	99.27	138	0.01	47	0.00	1237	0.12	6065	0.60
Bird	1014391	1004713	99.04	364	0.04	50	0.00	2296	0.23	6968	0.69
Plant	1014391	1007105	99.28	94	0.01	20	0.00	1190	0.12	5982	0.59

%Hit_no_genomes: 97.81
