#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1954618	1930584	98.77	1259	0.06	307	0.02	2916	0.15	19552	1.00
Ecoli	1954618	1954618	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	1954618	1954618	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1954618	1954502	99.99	0	0.00	0	0.00	1	0.00	115	0.01
Vectors	1954618	1951499	99.84	4	0.00	0	0.00	533	0.03	2582	0.13
Bacteria_24k	1954618	1940878	99.31	646	0.03	618	0.03	1638	0.08	10838	0.55
Protists_1k	1954618	1920815	98.27	3974	0.20	4629	0.24	1763	0.09	23437	1.20
Viruses	1954618	1942988	99.41	43	0.00	8	0.00	1815	0.09	9764	0.50
Fungi_RefSeq_release	1954618	1931898	98.84	871	0.04	163	0.01	3192	0.16	18494	0.95
Coral	1954618	1940010	99.26	240	0.01	84	0.00	2273	0.12	12011	0.61
Bird	1954618	1936242	99.07	671	0.03	86	0.00	3715	0.19	13904	0.71
Plant	1954618	1940672	99.28	191	0.01	30	0.00	2255	0.12	11470	0.59

%Hit_no_genomes: 97.88
