#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1478488	1430090	96.74	1399	0.09	311	0.02	3302	0.22	43386	2.93
Ecoli	1478488	1478480	100.00	0	0.00	0	0.00	6	0.00	2	0.00
PhiX	1478488	1478488	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1478488	1478257	99.98	0	0.00	0	0.00	0	0.00	231	0.02
Vectors	1478488	1470837	99.48	0	0.00	0	0.00	151	0.01	7500	0.51
Bacteria_24k	1478488	1450542	98.12	639	0.04	722	0.05	2420	0.16	24165	1.63
Protists_1k	1478488	1412335	95.52	4532	0.31	8699	0.59	1526	0.10	51396	3.48
Viruses	1478488	1452413	98.25	52	0.00	21	0.00	3764	0.25	22238	1.50
Fungi_RefSeq_release	1478488	1433871	96.99	938	0.06	292	0.02	3990	0.27	39397	2.66
Coral	1478488	1455047	98.42	61	0.00	23	0.00	2218	0.15	21139	1.43
Bird	1478488	1443862	97.66	943	0.06	103	0.01	6311	0.43	27269	1.84
Plant	1478488	1451624	98.19	123	0.01	21	0.00	3154	0.21	23566	1.59

%Hit_no_genomes: 95.05
