#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1932296	1872189	96.90	1810	0.09	407	0.02	3716	0.19	54174	2.80
Ecoli	1932296	1932276	100.00	0	0.00	0	0.00	11	0.00	9	0.00
PhiX	1932296	1932296	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1932296	1932252	100.00	0	0.00	0	0.00	1	0.00	43	0.00
Vectors	1932296	1920476	99.39	1	0.00	3	0.00	184	0.01	11632	0.60
Bacteria_24k	1932296	1892041	97.92	2195	0.11	2681	0.14	2801	0.14	32578	1.69
Protists_1k	1932296	1851830	95.84	5284	0.27	9746	0.50	2534	0.13	62902	3.26
Viruses	1932296	1898975	98.28	52	0.00	14	0.00	4256	0.22	28999	1.50
Fungi_RefSeq_release	1932296	1877140	97.15	972	0.05	308	0.02	4507	0.23	49369	2.55
Coral	1932296	1900624	98.37	53	0.00	37	0.00	2549	0.13	29033	1.50
Bird	1932296	1887506	97.68	1102	0.06	165	0.01	6836	0.35	36687	1.90
Plant	1932296	1897414	98.19	150	0.01	29	0.00	3651	0.19	31052	1.61

%Hit_no_genomes: 95.23
