Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Dar-AJol_001-Ex1-1A-lcwgs-1-1.1	14.690083696685619	48.0	150.0	18.181818181818183	7071183.0
Dar-AJol_001-Ex1-1A-lcwgs-1-1.2	13.883902428706179	48.0	150.0	18.181818181818183	7071183.0
Dar-AJol_002-Ex1-1B-lcwgs-1-1.1	15.191625503237631	45.0	150.0	18.181818181818183	4752492.0
Dar-AJol_002-Ex1-1B-lcwgs-1-1.2	14.318689254519015	45.0	150.0	18.181818181818183	4752492.0
Dar-AJol_003-Ex1-1C-lcwgs-1-1.1	16.514692473962796	46.0	150.0	18.181818181818183	3971239.0
Dar-AJol_003-Ex1-1C-lcwgs-1-1.2	15.655693257037	46.0	150.0	18.181818181818183	3971239.0
Dar-AJol_004-Ex1-1D-lcwgs-1-1.1	14.685196116213405	46.0	150.0	18.181818181818183	8186564.0
Dar-AJol_004-Ex1-1D-lcwgs-1-1.2	13.939514080812273	46.0	150.0	18.181818181818183	8186564.0
Dar-AJol_005-Ex1-1E-lcwgs-1-1.1	33.35430231360171	48.0	150.0	18.181818181818183	1357733.0
Dar-AJol_005-Ex1-1E-lcwgs-1-1.2	32.04416225828473	48.0	150.0	18.181818181818183	1357733.0
Dar-AJol_006-Ex1-1F-lcwgs-1-1.1	16.834963752883212	46.0	150.0	18.181818181818183	2261812.0
Dar-AJol_006-Ex1-1F-lcwgs-1-1.2	16.264801504620664	46.0	150.0	18.181818181818183	2261812.0
Dar-AJol_007-Ex1-1G-lcwgs-1-1.1	25.604671867042015	46.0	150.0	18.181818181818183	3647139.0
Dar-AJol_007-Ex1-1G-lcwgs-1-1.2	24.52263436705904	46.0	150.0	18.181818181818183	3647139.0
Dar-AJol_008-Ex1-1H-lcwgs-1-1.1	20.662946207752285	46.0	150.0	18.181818181818183	5379165.0
Dar-AJol_008-Ex1-1H-lcwgs-1-1.2	19.303281465245504	46.0	150.0	18.181818181818183	5379165.0
Dar-AJol_009-Ex1-2A-lcwgs-1-1.1	13.4756073008801	44.0	150.0	9.090909090909092	11101080.0
Dar-AJol_009-Ex1-2A-lcwgs-1-1.2	12.4958066768898	44.0	150.0	9.090909090909092	11101080.0
Dar-AJol_010-Ex1-2B-lcwgs-1-1.1	11.361956064262174	43.0	150.0	18.181818181818183	3297212.0
Dar-AJol_010-Ex1-2B-lcwgs-1-1.2	11.02045658843781	43.0	150.0	18.181818181818183	3297212.0
Dar-AJol_011-Ex1-2C-lcwgs-1-1.1	14.186240976927522	45.0	150.0	18.181818181818183	1706564.0
Dar-AJol_011-Ex1-2C-lcwgs-1-1.2	13.659570453931252	45.0	150.0	18.181818181818183	1706564.0
Dar-AJol_012-Ex1-2D-lcwgs-1-1.1	15.484784127012844	45.0	150.0	18.181818181818183	6876865.0
Dar-AJol_012-Ex1-2D-lcwgs-1-1.2	14.710050957201133	46.0	150.0	18.181818181818183	6876865.0
Dar-AJol_013-Ex1-2E-lcwgs-1-1.1	12.929084461629074	43.0	150.0	18.181818181818183	4312434.0
Dar-AJol_013-Ex1-2E-lcwgs-1-1.2	12.31103063165395	44.0	150.0	18.181818181818183	4312434.0
Dar-AJol_014-Ex1-2F-lcwgs-1-1.1	13.337031365322119	42.0	150.0	18.181818181818183	2557943.0
Dar-AJol_014-Ex1-2F-lcwgs-1-1.2	12.876407545599392	42.0	150.0	18.181818181818183	2557943.0
Dar-AJol_015-Ex1-2G-lcwgs-1-1.1	14.053625105609683	42.0	150.0	18.181818181818183	1055099.0
Dar-AJol_015-Ex1-2G-lcwgs-1-1.2	13.639576572731329	43.0	150.0	18.181818181818183	1055099.0
Dar-AJol_016-Ex1-2H-lcwgs-1-1.1	16.91426154822814	46.0	150.0	18.181818181818183	6134951.0
Dar-AJol_016-Ex1-2H-lcwgs-1-1.2	15.865000599446702	46.0	150.0	18.181818181818183	6134951.0
Dar-AJol_017-Ex1-3A-lcwgs-1-1.1	13.085881748688749	44.0	150.0	18.181818181818183	3172651.0
Dar-AJol_017-Ex1-3A-lcwgs-1-1.2	12.44922280232882	45.0	150.0	18.181818181818183	3172651.0
Dar-AJol_018-Ex1-3B-lcwgs-1-1.1	13.92101245338553	43.0	150.0	18.181818181818183	1746944.0
Dar-AJol_018-Ex1-3B-lcwgs-1-1.2	13.417155297758683	43.0	150.0	18.181818181818183	1746944.0
Dar-AJol_019-Ex1-3C-lcwgs-1-1.1	15.95468573528538	43.0	150.0	9.090909090909092	10923286.0
Dar-AJol_019-Ex1-3C-lcwgs-1-1.2	14.608854772902063	43.0	150.0	9.090909090909092	10923286.0
Dar-AJol_020-Ex1-3D-lcwgs-1-1.1	16.319583438957935	43.0	150.0	18.181818181818183	5781941.0
Dar-AJol_020-Ex1-3D-lcwgs-1-1.2	15.753645307705355	44.0	150.0	18.181818181818183	5781941.0
Dar-AJol_021-Ex1-3E-lcwgs-1-1.1	13.690890924531203	42.0	150.0	18.181818181818183	1907313.0
Dar-AJol_021-Ex1-3E-lcwgs-1-1.2	13.305424528865288	42.0	150.0	27.27272727272727	1907313.0
Dar-CJol_009-Ex1-3B-lcwgs-1-1.1	16.75465212017062	47.0	150.0	18.181818181818183	2776116.0
Dar-CJol_009-Ex1-3B-lcwgs-1-1.2	15.652647336331114	47.0	150.0	18.181818181818183	2776116.0
Dar-CJol_012-Ex1-3D-lcwgs-1-1.1	22.03074373456404	51.0	150.0	18.181818181818183	2370880.0
Dar-CJol_012-Ex1-3D-lcwgs-1-1.2	20.43936184052886	51.0	150.0	18.181818181818183	2370880.0
Dar-CJol_019-Ex1-1G-lcwgs-1-1.1	13.823976041485423	47.0	150.0	9.090909090909092	2717985.0
Dar-CJol_019-Ex1-1G-lcwgs-1-1.2	12.709749085569769	47.0	150.0	9.090909090909092	2717985.0
Dar-CJol_020-Ex1-4F-lcwgs-1-1.1	16.71143036894	49.0	150.0	18.181818181818183	4781805.0
Dar-CJol_020-Ex1-4F-lcwgs-1-1.2	15.710028658305703	49.0	150.0	18.181818181818183	4781805.0
Dar-CJol_021-Ex1-6F-lcwgs-1-1.1	16.54706661424997	48.0	150.0	18.181818181818183	5261551.0
Dar-CJol_021-Ex1-6F-lcwgs-1-1.2	15.644594945561593	48.0	150.0	18.181818181818183	5261551.0
Dar-CJol_022-Ex1-7C-lcwgs-1-1.1	13.086253594623159	49.0	150.0	18.181818181818183	1275245.0
Dar-CJol_022-Ex1-7C-lcwgs-1-1.2	12.388329589864455	49.0	150.0	18.181818181818183	1275245.0
Dar-CJol_023-Ex1-8B-lcwgs-1-1.1	12.419176714165886	48.0	150.0	18.181818181818183	1006665.0
Dar-CJol_023-Ex1-8B-lcwgs-1-1.2	11.753420730474303	48.0	150.0	18.181818181818183	1006665.0
Dar-CJol_024-Ex1-7E-lcwgs-1-1.1	9.756097560975604	49.0	150.0	36.36363636363637	41.0
Dar-CJol_024-Ex1-7E-lcwgs-1-1.2	4.878048780487802	48.0	150.0	36.36363636363637	41.0
Dar-CJol_025-Ex1-3C-lcwgs-1-1.1	13.54111953104298	47.0	150.0	9.090909090909092	2383479.0
Dar-CJol_025-Ex1-3C-lcwgs-1-1.2	12.618583566868466	47.0	150.0	9.090909090909092	2383479.0
Dar-CJol_026-Ex1-8A-lcwgs-1-1.1	12.539165181786373	48.0	150.0	9.090909090909092	1178154.0
Dar-CJol_026-Ex1-8A-lcwgs-1-1.2	12.02509643528633	48.0	150.0	9.090909090909092	1178154.0
Dar-CJol_028-Ex1-2F-lcwgs-1-1.1	17.747764689150955	47.0	150.0	18.181818181818183	5577207.0
Dar-CJol_028-Ex1-2F-lcwgs-1-1.2	16.839647005195374	47.0	150.0	18.181818181818183	5577207.0
Dar-CJol_029-Ex1-5B-lcwgs-1-1.1	15.749001424467039	46.0	150.0	9.090909090909092	2889986.0
