#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	11634618	11203261	96.29	10192	0.09	2138	0.02	28280	0.24	390747	3.36
Ecoli	11634618	11634595	100.00	0	0.00	0	0.00	14	0.00	9	0.00
PhiX	11634618	11634618	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	11634618	11634598	100.00	0	0.00	0	0.00	3	0.00	17	0.00
Vectors	11634618	11565356	99.40	6	0.00	2	0.00	784	0.01	68470	0.59
Bacteria_24k	11634618	11387757	97.87	4279	0.04	4817	0.04	19434	0.17	218331	1.88
Protists_1k	11634618	11053337	95.01	37577	0.32	74782	0.64	11626	0.10	457296	3.93
Viruses	11634618	11393235	97.93	462	0.00	137	0.00	31877	0.27	208907	1.80
Fungi_RefSeq_release	11634618	11228348	96.51	8230	0.07	2449	0.02	34515	0.30	361076	3.10
Coral	11634618	11414944	98.12	403	0.00	172	0.00	19172	0.16	199927	1.72
Bird	11634618	11318660	97.28	5946	0.05	892	0.01	52023	0.45	257097	2.21
Plant	11634618	11382476	97.84	988	0.01	271	0.00	25822	0.22	225061	1.93

%Hit_no_genomes: 94.57
