Sample	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125	126	127	128	129	130	131	132	133	134	135	136	137	138	139	140	141	142	143	144	145	146	147	148	149	150
Goy-APnd_001-Ex1-1A-lcwgs-1-T.clmp.r1r2_fastp	51.548300000000005	39.8707	40.7356	38.5941	40.442499999999995	39.0794	38.802	39.0276	39.8724	39.259	42.1303	41.5635	41.6208	41.1736	41.0874	40.909600000000005	41.4481	41.3037	41.5481	41.6679	41.1759	41.483799999999995	40.8635	41.0687	40.6973	40.6975	40.6953	40.6506	40.8387	40.8782	40.921800000000005	41.2103	40.6643	40.7123	40.7796	40.869299999999996	40.5262	41.1892	40.7395	41.0533	40.8729	41.0721	40.8791	41.1064	40.4753	40.7233	40.7282	40.8746	40.5572	40.8965	40.827400000000004	40.741699999999994	40.713100000000004	40.639199999999995	40.579	40.764	40.7304	40.9106	40.5805	40.4035	40.6773	40.5312	40.6639	40.5747	40.6744	40.4482	40.3804	40.5651	40.6888	40.5059	40.979	40.523199999999996	40.827200000000005	40.4521	40.6259	40.5642	40.8631	40.319300000000005	40.9478	40.4806	40.846700000000006	40.5418	40.9535	40.4338	40.9782	40.728500000000004	41.212700000000005	40.6993	40.9794	40.6085	41.0246	40.7505	41.103	40.9392	40.7736	40.5996	40.362500000000004	40.9885	40.437	40.602	40.807900000000004	40.578599999999994	40.462199999999996	40.4902	40.2305	40.3513	40.6351	40.7397	40.8211	40.8302	40.457300000000004	40.5929	40.6516	41.123599999999996	40.7262	41.2694	40.4769	40.6095	40.2232	40.6493	40.628	40.337	40.2271	40.4302	40.5278	40.4928	40.1126	40.6993	40.3789	40.8945	40.565	40.888999999999996	40.4503	40.7729	40.516200000000005	40.7839	41.6045	40.875099999999996	41.3794	40.8673	40.89	40.6933	40.7709	41.2293	41.1383	41.4204	41.225	41.7251	41.1011	41.645900000000005
Goy-APnd_002-Ex1-1B-lcwgs-1-T.clmp.r1r2_fastp	51.98700000000001	38.7297	40.6509	38.388099999999994	39.9738	38.7362	38.4389	38.365899999999996	38.9988	38.514700000000005	41.5528	41.195100000000004	41.0051	40.7828	40.748400000000004	40.625299999999996	40.8669	40.8076	40.8665	40.8837	40.6559	40.7683	40.4419	40.3229	40.1717	40.104	40.0516	40.004	40.1764	40.1035	40.090199999999996	40.241	40.154	40.150400000000005	40.1293	40.1496	40.0151	40.2083	40.041399999999996	40.0386	40.0766	40.0058	39.9627	40.0847	39.9087	39.8438	39.854099999999995	39.8362	39.791	39.7821	39.8804	39.8228	39.8992	39.8184	39.7879	39.893499999999996	39.793800000000005	39.830799999999996	39.7895	39.6642	39.7009	39.8054	39.819900000000004	39.672200000000004	39.7416	39.6606	39.6232	39.664899999999996	39.6531	39.6898	39.7723	39.596	39.7514	39.7312	39.6918	39.5218	39.6206	39.6032	39.8187	39.6265	39.765699999999995	39.6207	39.6877	39.5766	39.694	39.665800000000004	39.8039	39.547399999999996	39.787	39.4677	39.6789	39.4901	39.7487	39.6085	39.7832	39.4546	39.482800000000005	39.6472	39.439	39.5793	39.5019	39.524300000000004	39.475500000000004	39.576499999999996	39.4754	39.5406	39.6947	39.5102	39.5486	39.597300000000004	39.629999999999995	39.460699999999996	39.602199999999996	39.6333	39.5196	39.7499	39.5043	39.5253	39.5852	39.466499999999996	39.6193	39.42	39.5046	39.6695	39.5786	39.6822	39.542100000000005	39.6492	39.626400000000004	39.574999999999996	39.5407	39.617000000000004	39.744099999999996	39.8262	39.6297	39.713300000000004	39.8976	39.7515	39.8456	39.9446	39.9375	39.9126	39.993	40.049800000000005	40.1479	40.0115	39.9799	40.1123	40.1566	40.3472
Goy-APnd_003-Ex1-1C-lcwgs-1-T.clmp.r1r2_fastp	51.452299999999994	38.9638	40.832	38.8163	40.6294	39.2063	38.9241	39.1313	39.8735	39.353300000000004	42.143	41.8884	41.6765	41.393299999999996	41.3569	41.1629	41.510200000000005	41.4125	41.5262	41.6196	41.3775	41.5023	41.1237	41.1437	40.8725	40.9936	40.8172	40.8609	40.969699999999996	40.9427	40.957100000000004	41.234500000000004	40.8742	41.078199999999995	41.0468	40.9789	40.8293	41.1854	40.8947	41.051500000000004	40.9535	41.0001	40.969	41.0728	40.7935	40.816599999999994	40.8383	40.8111	40.7453	40.8775	40.8575	40.694599999999994	40.794200000000004	40.624900000000004	40.7212	40.8585	40.7503	40.6969	40.7705	40.469899999999996	40.747699999999995	40.652899999999995	40.727999999999994	40.6972	40.6477	40.515699999999995	40.5254	40.6325	40.6723	40.666000000000004	40.8374	40.611599999999996	40.728500000000004	40.663	40.6015	40.5218	40.686499999999995	40.541700000000006	40.7374	40.6119	40.7562	40.483200000000004	40.7367	40.5482	40.7318	40.5755	40.7735	40.4841	40.813500000000005	40.516000000000005	40.7453	40.6749	40.7461	40.7304	40.5878	40.5052	40.3968	40.544999999999995	40.4186	40.482	40.5676	40.388200000000005	40.4909	40.464299999999994	40.3673	40.4338	40.6276	40.5766	40.4856	40.525	40.5653	40.6145	40.5519	40.5341	40.615	40.6263	40.3962	40.3814	40.3396	40.4017	40.4973	40.5011	40.3148	40.576299999999996	40.4446	40.5433	40.3255	40.490500000000004	40.253	40.5622	40.4317	40.6987	40.609899999999996	40.665	40.5062	40.6088	40.8327	40.7719	40.8666	40.8168	40.821200000000005	40.891	40.8304	40.9075	41.004000000000005	41.098600000000005	40.8791	41.2254	40.909	41.5122
Goy-APnd_004-Ex1-1D-lcwgs-1-T.clmp.r1r2_fastp	51.8841	39.3191	41.2642	39.1676	40.8026	39.642300000000006	39.5062	39.5708	40.078599999999994	39.7003	42.5878	42.1556	41.9724	41.7885	41.7435	41.5371	41.881	41.745900000000006	42.0688	42.005900000000004	41.9019	41.902499999999996	41.7231	41.6383	41.5055	41.431200000000004	41.4316	41.410000000000004	41.573	41.551500000000004	41.528999999999996	41.7202	41.5813	41.525	41.6149	41.4664	41.3078	41.5732	41.3608	41.3891	41.365899999999996	41.354	41.3343	41.3422	41.2094	41.1715	41.2375	41.219699999999996	41.1166	41.2317	41.1237	41.058699999999995	41.151900000000005	41.0308	41.1749	41.0072	41.066399999999994	41.1434	40.9668	41.0015	40.9918	41.0523	40.9647	40.975899999999996	40.9407	40.8319	40.8647	40.909600000000005	40.9298	40.9204	40.9518	40.9606	40.8514	40.8182	40.8196	40.719100000000005	40.780300000000004	40.8198	40.8199	40.8684	40.773399999999995	40.7643	40.7721	40.6524	40.916799999999995	40.747299999999996	40.825	40.6686	40.809400000000004	40.643	40.7665	40.7431	40.7298	40.721000000000004	40.668	40.6044	40.5609	40.6605	40.5743	40.4805	40.5228	40.5323	40.6412	40.4594	40.4282	40.3628	40.4966	40.6696	40.5053	40.5286	40.527499999999996	40.4054	40.4403	40.5754	40.501	40.5255	40.4459	40.3323	40.304	40.4232	40.304	40.417500000000004	40.233999999999995	40.4526	40.2848	40.402	40.2239	40.3845	40.2075	40.384	40.2194	40.5119	40.4934	40.4362	40.3065	40.4597	40.5674	40.5483	40.5768	40.5918	40.5537	40.756	40.644999999999996	40.7464	40.7172	40.780100000000004	40.734500000000004	40.9613	40.6356	41.113499999999995
Goy-APnd_005-Ex1-1E-lcwgs-1-T.clmp.r1r2_fastp	51.8152	38.1301	40.1515	38.6257	39.7684	38.2556	37.7819	38.0312	38.7091	38.2423	41.2393	40.7666	40.5797	40.1902	40.3502	40.0115	40.3484	40.2357	40.4439	40.3035	40.3673	40.3138	39.853100000000005	40.049600000000005	39.712199999999996	39.603699999999996	39.636700000000005	39.6222	39.7327	39.6354	39.8279	39.981100000000005	39.8592	39.820100000000004	39.8636	39.947500000000005	39.6095	39.932	39.7447	40.0063	39.7765	39.7745	39.799299999999995	39.9315	39.6034	39.6312	39.6063	39.631	39.6951	39.5997	39.577600000000004	39.5661	39.6231	39.4564	39.5842	39.6104	39.6607	39.650600000000004	39.5652	39.449600000000004	39.6274	39.4714	39.5812	39.5295	39.4899	39.3555	39.286500000000004	39.385999999999996	39.5346	39.461800000000004	39.6569	39.4754	39.400600000000004	39.385799999999996	39.4791	39.2843	39.5024	39.3291	39.6536	39.4786	39.4561	39.2751	39.5343	39.256600000000006	39.549099999999996	39.3987	39.5997	39.4407	39.5609	39.372099999999996	39.599000000000004	39.4899	39.4675	39.6687	39.2526	39.4589	39.2254	39.4414	39.2285	39.4463	39.4578	39.277499999999996	39.3552	39.3033	39.0905	39.312799999999996	39.306000000000004	39.4334	39.4195	39.3356	39.4061	39.4606	39.338699999999996	39.4229	39.393499999999996	39.4378	39.3035	39.2608	39.2205	39.4135	39.475	39.3561	39.2557	39.4198	39.3328	39.348499999999994	39.4192	39.4336	39.4087	39.6341	39.324999999999996	39.8297	39.495400000000004	39.6549	39.6098	39.4319	39.7494	39.7898	39.7903	39.756	39.686	39.7505	40.0341	39.9076	39.9843	40.1177	40.0393	40.2746	40.116600000000005	40.280100000000004
Goy-APnd_006-Ex1-1F-lcwgs-1-T.clmp.r1r2_fastp	50.431099999999994	40.503699999999995	40.6323	39.1158	40.5138	39.5036	39.2702	39.4106	40.0347	39.5125	42.1774	41.6955	41.5862	41.3481	41.4009	41.1513	41.542	41.3185	41.503499999999995	41.5118	41.436	41.4333	41.2219	41.1102	40.9887	40.9106	40.8904	40.8657	41.0283	40.937400000000004	41.0115	41.1112	40.9533	40.8983	40.9048	40.908	40.6398	40.954499999999996	40.665	40.8151	40.7434	40.6836	40.704299999999996	40.6904	40.5541	40.550999999999995	40.588800000000006	40.5796	40.4461	40.5261	40.4979	40.361000000000004	40.4935	40.4071	40.615	40.4004	40.4677	40.433400000000006	40.4273	40.2875	40.3455	40.3553	40.433	40.4164	40.462199999999996	40.309200000000004	40.294999999999995	40.3536	40.4685	40.212900000000005	40.4897	40.249	40.4337	40.269800000000004	40.352	40.2147	40.38	40.1818	40.428	40.2185	40.4482	40.186699999999995	40.35	40.145199999999996	40.435	40.1511	40.4489	40.1177	40.5058	40.2371	40.4007	40.2902	40.3453	40.3924	40.157199999999996	40.1129	40.1882	40.245999999999995	40.1286	40.1507	40.0901	40.193400000000004	40.1655	40.063500000000005	39.8848	40.084599999999995	40.021699999999996	40.1791	40.143699999999995	40.1689	40.1503	40.286100000000005	40.0841	40.2565	40.1898	40.314699999999995	40.1486	39.885	40.0205	40.030300000000004	40.095	39.9514	40.0081	39.9801	39.9945	40.2682	39.8988	40.267399999999995	40.1516	40.1014	40.010400000000004	40.2738	40.324	40.5839	40.258300000000006	40.1965	40.4714	40.295199999999994	40.5804	40.3198	40.409	40.5063	40.3261	40.5582	40.5208	40.895900000000005	40.814499999999995	40.7694	40.944199999999995	41.1045
Goy-APnd_007-Ex1-1G-lcwgs-1-T.clmp.r1r2_fastp	51.169799999999995	41.9425	41.7743	40.529900000000005	41.7261	40.8174	40.6051	41.234	41.5283	40.8938	43.5344	43.0291	42.710100000000004	42.604	42.4527	42.370799999999996	42.6025	42.4599	42.601	42.695	42.5013	42.5921	42.3889	42.3268	42.194199999999995	42.259600000000006	42.1499	42.168	42.193799999999996	42.195899999999995	42.2861	42.3131	42.1593	42.200900000000004	42.139700000000005	42.0717	41.9325	42.131	41.9006	41.991	42.038399999999996	41.9328	41.8264	42.0201	41.741299999999995	41.6651	41.8267	41.7525	41.6556	41.77	41.7251	41.7188	41.693599999999996	41.5518	41.5935	41.7989	41.5798	41.6766	41.6438	41.4926	41.6349	41.5346	41.5589	41.5838	41.571999999999996	41.4426	41.374100000000006	41.5354	41.5421	41.3442	41.5891	41.307500000000005	41.5364	41.4053	41.3202	41.227599999999995	41.4561	41.214099999999995	41.518899999999995	41.3698	41.4771	41.2483	41.438199999999995	41.2566	41.2639	41.3835	41.2859	41.2327	41.3564	41.343	41.1905	41.3547	41.2945	41.3735	41.2883	41.187400000000004	41.1418	41.0545	41.0465	40.979	41.124300000000005	41.1628	41.1442	41.2451	40.8846	41.0185	41.1011	41.2114	41.0253	41.0078	41.106300000000005	41.1365	40.968900000000005	41.184799999999996	40.9331	41.1205	41.0526	40.8591	40.8881	41.0291	41.0166	41.0036	40.8545	40.9285	41.1582	41.0615	40.8069	40.9955	40.9311	41.0085	40.9437	41.0932	40.8622	40.9981	40.9143	40.910000000000004	41.3228	41.119499999999995	40.9749	41.3102	40.9787	41.3318	41.1895	41.3102	41.5967	41.6655	40.8638	41.7294	41.146300000000004	42.2056
Goy-APnd_008-Ex1-1H-lcwgs-1-T.clmp.r1r2_fastp	52.4481	42.4374	42.4607	41.05	42.513	41.5611	41.4131	41.9156	42.6614	41.6008	44.4747	43.9861	43.768499999999996	43.4686	43.5664	43.3	43.628	43.4161	43.5157	43.4844	43.5827	43.6094	43.355700000000006	43.3798	43.1797	43.074600000000004	43.006499999999996	43.0967	43.2118	43.1454	43.208999999999996	43.2861	43.128	43.1385	43.2376	43.0846	42.8161	43.0606	42.8796	42.9979	42.960300000000004	42.8245	42.8771	42.9415	42.7356	42.7701	42.7712	42.79	42.6195	42.6834	42.5355	42.7965	42.607800000000005	42.433	42.5812	42.585	42.473499999999994	42.4681	42.614200000000004	42.418299999999995	42.7012	42.3499	42.452	42.4297	42.417	42.2934	42.2673	42.1701	42.3608	42.2654	42.336200000000005	42.1974	42.3087	42.1908	42.2709	42.2049	42.3392	42.2178	42.2384	41.8776	42.1621	42.0061	42.0956	41.9789	42.1169	42.0228	41.9609	42.0856	42.209	41.9866	41.9738	42.1964	41.843399999999995	41.9248	41.7759	42.0829	41.7269	41.991499999999995	42.0993	41.5889	41.930099999999996	41.7916	41.6971	41.9061	41.6776	41.7349	42.0989	42.003099999999996	41.7056	41.8444	41.669	41.761900000000004	41.4679	41.977199999999996	41.6092	41.6007	41.625099999999996	41.521	41.4317	41.3241	41.3801	41.4617	41.6787	41.458099999999995	41.5502	41.5625	41.1708	41.524899999999995	41.2996	41.261900000000004	41.2061	41.601	41.373	41.591699999999996	41.5186	41.8868	41.698299999999996	41.303200000000004	41.6935	41.417	41.8401	41.605	41.5441	41.6265	41.8061	41.3024	41.922599999999996	41.5209	41.557100000000005	42.737199999999994
Goy-APnd_009-Ex1-2A-lcwgs-1-T.clmp.r1r2_fastp	48.599	40.1483	40.1506	39.0113	39.6947	39.0684	38.712	39.067800000000005	39.678799999999995	39.0285	41.342600000000004	40.9929	40.7391	40.443200000000004	40.4164	40.2838	40.6134	40.3866	40.6113	40.5509	40.4437	40.421800000000005	40.2331	40.275	40.0691	39.8821	39.976	40.1465	40.0007	40.2172	40.315400000000004	40.2061	40.0503	40.1614	40.0446	40.0615	39.8931	40.2217	39.818799999999996	39.962900000000005	40.0158	39.9163	39.8705	40.1025	39.6537	39.893699999999995	39.717999999999996	39.9634	39.7289	39.8635	39.7985	39.7176	39.7858	39.6703	39.7471	39.8001	39.7139	39.8059	39.7895	39.6898	39.732299999999995	39.6501	39.7315	39.7976	39.577200000000005	39.848	39.4949	39.787499999999994	39.5586	39.813900000000004	39.7519	39.5496	39.7629	39.744299999999996	39.5548	39.5784	39.860800000000005	39.6339	39.6733	39.639799999999994	39.623000000000005	39.8915	39.649499999999996	39.665	39.6323	39.669399999999996	39.8099	39.7025	39.7795	39.6343	39.621	39.8236	39.3859	39.7397	39.652300000000004	39.4882	39.3083	39.6592	39.3368	39.6207	39.576299999999996	39.4851	39.7783	39.4491	39.557700000000004	39.5868	39.5977	39.4824	39.530100000000004	39.394	39.186	39.5565	39.3831	39.5694	39.4301	39.5563	39.2571	39.4416	39.2753	39.305800000000005	39.4731	39.637899999999995	39.2301	39.3295	39.6208	39.129599999999996	39.656000000000006	39.5389	39.6953	39.417	39.424	39.5032	39.6095	39.332499999999996	39.4506	39.6684	39.6833	39.8122	39.6499	39.531	39.7619	39.9479	39.8105	40.1801	39.441900000000004	39.873	40.0343	40.6417	40.0743	40.747
Goy-APnd_010-Ex1-2B-lcwgs-1-T.clmp.r1r2_fastp	49.8145	41.5833	41.5094	40.490500000000004	41.5425	40.8305	40.556799999999996	40.937400000000004	41.4153	40.9681	43.3188	43.0034	42.7389	42.6473	42.509	42.4815	42.6649	42.6596	42.68	42.692099999999996	42.681000000000004	42.620000000000005	42.507	42.4557	42.3517	42.384699999999995	42.3155	42.3264	42.4218	42.329699999999995	42.3792	42.513400000000004	42.4184	42.3379	42.3369	42.2769	42.1456	42.2954	42.121900000000004	42.119800000000005	42.1359	41.9979	42.0879	42.065599999999996	41.9281	41.8798	41.9357	41.8395	41.7787	41.901500000000006	41.6965	41.713699999999996	41.850300000000004	41.772999999999996	41.706700000000005	41.701899999999995	41.7424	41.6789	41.619499999999995	41.5649	41.6302	41.627399999999994	41.5076	41.5293	41.6425	41.383399999999995	41.4504	41.536	41.5269	41.4377	41.588300000000004	41.409600000000005	41.5092	41.4191	41.3629	41.3807	41.362	41.4491	41.4388	41.4191	41.3944	41.2712	41.3968	41.2248	41.2859	41.2833	41.298	41.240700000000004	41.2852	41.0719	41.3215	41.1971	41.2064	41.1631	41.2613	41.1018	41.1494	41.069	40.9793	41.0733	41.2007	40.883900000000004	40.8675	41.057700000000004	40.8225	40.928	41.0154	40.8987	40.9341	40.9734	41.0038	40.857	40.8051	40.9142	40.765	40.889900000000004	40.7747	40.9171	40.8192	40.889900000000004	41.0355	40.7314	40.7624	40.685500000000005	40.6327	40.5957	40.8117	40.6763	40.822599999999994	40.5792	40.6486	40.8654	40.9254	40.7848	40.6671	40.7747	40.7442	40.834399999999995	40.814499999999995	40.854600000000005	40.8709	40.8016	41.3172	40.781	41.2229	40.9749	40.8189	41.3151	41.0463	41.5682
