#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2253503	2205393	97.86	1999	0.09	602	0.03	5253	0.23	40256	1.79
Ecoli	2253503	2253492	100.00	0	0.00	0	0.00	1	0.00	10	0.00
PhiX	2253503	2253503	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2253503	2253497	100.00	0	0.00	0	0.00	1	0.00	5	0.00
Vectors	2253503	2244697	99.61	9	0.00	1	0.00	362	0.02	8434	0.37
Bacteria_24k	2253503	2232402	99.06	249	0.01	628	0.03	2305	0.10	17919	0.80
Protists_1k	2253503	2190242	97.19	5476	0.24	8616	0.38	2157	0.10	47012	2.09
Viruses	2253503	2230508	98.98	40	0.00	22	0.00	2264	0.10	20669	0.92
Fungi_RefSeq_release	2253503	2210110	98.08	1154	0.05	267	0.01	5268	0.23	36704	1.63
Coral	2253503	2229306	98.93	199	0.01	46	0.00	3611	0.16	20341	0.90
Bird	2253503	2219757	98.52	1222	0.05	105	0.00	5498	0.24	26921	1.19
Plant	2253503	2223679	98.68	250	0.01	52	0.00	3678	0.16	25844	1.15

%Hit_no_genomes: 96.77
