#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3713386	3632718	97.82	3288	0.09	942	0.03	7749	0.21	68689	1.85
Ecoli	3713386	3713381	100.00	0	0.00	0	0.00	0	0.00	5	0.00
PhiX	3713386	3713386	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3713386	3713369	100.00	0	0.00	0	0.00	2	0.00	15	0.00
Vectors	3713386	3700722	99.66	11	0.00	0	0.00	529	0.01	12124	0.33
Bacteria_24k	3713386	3677674	99.04	446	0.01	736	0.02	4101	0.11	30429	0.82
Protists_1k	3713386	3609381	97.20	8593	0.23	13223	0.36	3313	0.09	78876	2.12
Viruses	3713386	3672449	98.91	118	0.00	33	0.00	4256	0.11	36530	0.98
Fungi_RefSeq_release	3713386	3644570	98.14	1685	0.05	415	0.01	8488	0.23	58228	1.57
Coral	3713386	3676942	99.02	305	0.01	69	0.00	5492	0.15	30578	0.82
Bird	3713386	3659681	98.55	1909	0.05	197	0.01	12396	0.33	39203	1.06
Plant	3713386	3666390	98.74	440	0.01	113	0.00	5682	0.15	40761	1.10

%Hit_no_genomes: 96.80
