Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Goy-APnd_001-Ex1-1A-lcwgs-1-T.1	0.9268743003845747	0.22907991930916283
Goy-APnd_001-Ex1-1A-lcwgs-1-T.2	0.9545244398988539	0.0
Goy-APnd_002-Ex1-1B-lcwgs-1-T.1	0.5817881734017588	0.0
Goy-APnd_002-Ex1-1B-lcwgs-1-T.2	0.5942239529159611	0.0
Goy-APnd_003-Ex1-1C-lcwgs-1-T.1	0.6318980945942735	0.0
Goy-APnd_003-Ex1-1C-lcwgs-1-T.2	0.6446744962016895	0.0
Goy-APnd_004-Ex1-1D-lcwgs-1-T.1	0.5579256339341535	0.0
Goy-APnd_004-Ex1-1D-lcwgs-1-T.2	0.5797543736953089	0.0
Goy-APnd_005-Ex1-1E-lcwgs-1-T.1	0.5015681736866545	0.0
Goy-APnd_005-Ex1-1E-lcwgs-1-T.2	0.5229783120056637	0.0
Goy-APnd_006-Ex1-1F-lcwgs-1-T.1	0.7530277363545057	0.0
Goy-APnd_006-Ex1-1F-lcwgs-1-T.2	0.7702964594104235	0.0
Goy-APnd_007-Ex1-1G-lcwgs-1-T.1	1.1525284435173384	0.0
Goy-APnd_007-Ex1-1G-lcwgs-1-T.2	1.1838706215827866	0.0
Goy-APnd_008-Ex1-1H-lcwgs-1-T.1	2.7540817300993643	0.0
Goy-APnd_008-Ex1-1H-lcwgs-1-T.2	2.817485726273207	0.0
Goy-APnd_009-Ex1-2A-lcwgs-1-T.1	0.86118764926719	0.0
Goy-APnd_009-Ex1-2A-lcwgs-1-T.2	0.8483818849658193	0.0
Goy-APnd_010-Ex1-2B-lcwgs-1-T.1	0.7173071927051623	0.0
Goy-APnd_010-Ex1-2B-lcwgs-1-T.2	0.7222155015300041	0.0
Goy-APnd_011-Ex1-2C-lcwgs-1-T.1	2.1496749742162744	0.0
Goy-APnd_011-Ex1-2C-lcwgs-1-T.2	2.1488568490625566	0.0
Goy-APnd_012-Ex1-2D-lcwgs-1-T.1	0.5188046024739359	0.0
Goy-APnd_012-Ex1-2D-lcwgs-1-T.2	0.5230041122165626	0.0
Goy-APnd_013-Ex1-2E-lcwgs-1-T.1	6.314251873009397	0.12737030614211076
Goy-APnd_013-Ex1-2E-lcwgs-1-T.2	6.3448547496798025	0.0
