#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1474563	1439920	97.64	1254	0.09	373	0.03	3095	0.21	29921	2.03
Ecoli	1474563	1474541	100.00	0	0.00	0	0.00	3	0.00	19	0.00
PhiX	1474563	1474563	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1474563	1474557	100.00	0	0.00	0	0.00	0	0.00	6	0.00
Vectors	1474563	1468822	99.61	3	0.00	2	0.00	155	0.01	5581	0.38
Bacteria_24k	1474563	1458022	98.87	262	0.02	872	0.06	1741	0.12	13666	0.93
Protists_1k	1474563	1429907	96.98	3544	0.24	5485	0.37	1368	0.09	34259	2.32
Viruses	1474563	1456563	98.79	34	0.00	14	0.00	1838	0.12	16114	1.09
Fungi_RefSeq_release	1474563	1444500	97.96	678	0.05	163	0.01	3412	0.23	25810	1.75
Coral	1474563	1458205	98.89	102	0.01	28	0.00	2351	0.16	13877	0.94
Bird	1474563	1450956	98.40	743	0.05	86	0.01	5171	0.35	17607	1.19
Plant	1474563	1453893	98.60	147	0.01	25	0.00	2409	0.16	18089	1.23

%Hit_no_genomes: 96.54
