#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2760	2527	91.56	4	0.14	0	0.00	19	0.69	210	7.61
Ecoli	2760	2760	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	2760	2760	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2760	2760	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	2760	2729	98.88	0	0.00	0	0.00	0	0.00	31	1.12
Bacteria_24k	2760	2641	95.68	1	0.04	0	0.00	9	0.33	109	3.95
Protists_1k	2760	2469	89.46	15	0.54	31	1.12	5	0.18	240	8.70
Viruses	2760	2627	95.18	0	0.00	0	0.00	15	0.54	118	4.28
Fungi_RefSeq_release	2760	2542	92.10	1	0.04	0	0.00	26	0.94	191	6.92
Coral	2760	2625	95.11	0	0.00	0	0.00	16	0.58	119	4.31
Bird	2760	2589	93.80	1	0.04	0	0.00	26	0.94	144	5.22
Plant	2760	2591	93.87	1	0.04	0	0.00	19	0.69	149	5.40

%Hit_no_genomes: 88.73
