#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1475684	1307176	88.57	3484	0.24	1198	0.08	13222	0.90	150604	10.21
Ecoli	1475684	1475683	100.00	0	0.00	0	0.00	1	0.00	0	0.00
PhiX	1475684	1475684	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1475684	1475668	100.00	0	0.00	0	0.00	1	0.00	15	0.00
Vectors	1475684	1456116	98.67	5	0.00	2	0.00	574	0.04	18987	1.29
Bacteria_24k	1475684	1396438	94.64	188	0.01	158	0.01	8023	0.54	70877	4.80
Protists_1k	1475684	1272438	86.23	9620	0.65	20225	1.37	4250	0.29	169151	11.46
Viruses	1475684	1388347	94.08	121	0.01	36	0.00	7566	0.51	79614	5.40
Fungi_RefSeq_release	1475684	1318888	89.38	1679	0.11	390	0.03	14324	0.97	140403	9.51
Coral	1475684	1379855	93.51	254	0.02	67	0.00	13395	0.91	82113	5.56
Bird	1475684	1355401	91.85	1084	0.07	189	0.01	15294	1.04	103716	7.03
Plant	1475684	1355009	91.82	443	0.03	110	0.01	12009	0.81	108113	7.33

%Hit_no_genomes: 85.26
