#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	899279	783205	87.08	1854	0.21	586	0.07	8785	0.98	104849	11.66
Ecoli	899279	899279	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	899279	899279	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	899279	899271	100.00	0	0.00	0	0.00	0	0.00	8	0.00
Vectors	899279	885366	98.46	1	0.00	0	0.00	473	0.05	13439	1.49
Bacteria_24k	899279	843357	93.79	124	0.01	89	0.01	5688	0.63	50021	5.56
Protists_1k	899279	759608	84.47	6230	0.69	13376	1.49	2986	0.33	117079	13.02
Viruses	899279	836889	93.06	76	0.01	19	0.00	5466	0.61	56829	6.32
Fungi_RefSeq_release	899279	790396	87.88	1129	0.13	247	0.03	9610	1.07	97897	10.89
Coral	899279	832022	92.52	185	0.02	102	0.01	9248	1.03	57722	6.42
Bird	899279	815611	90.70	692	0.08	117	0.01	10560	1.17	72299	8.04
Plant	899279	814382	90.56	328	0.04	73	0.01	8206	0.91	76290	8.48

%Hit_no_genomes: 83.47
