#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	111633	102803	92.08	178	0.16	63	0.06	768	0.69	7821	7.01
Ecoli	111633	111633	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	111633	111633	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	111633	111633	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	111633	110418	98.91	0	0.00	0	0.00	26	0.02	1189	1.07
Bacteria_24k	111633	107406	96.22	5	0.00	6	0.01	439	0.39	3777	3.38
Protists_1k	111633	100824	90.32	555	0.50	1154	1.03	265	0.24	8835	7.91
Viruses	111633	106935	95.79	11	0.01	2	0.00	381	0.34	4304	3.86
Fungi_RefSeq_release	111633	103492	92.72	106	0.09	24	0.02	729	0.65	7282	6.52
Coral	111633	106605	95.49	22	0.02	6	0.01	646	0.58	4354	3.90
Bird	111633	105325	94.35	100	0.09	15	0.01	822	0.74	5371	4.81
Plant	111633	105306	94.34	39	0.03	6	0.01	640	0.57	5642	5.05

%Hit_no_genomes: 89.53
