#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1067790	984296	92.18	1726	0.16	652	0.06	7053	0.66	74063	6.94
Ecoli	1067790	1067788	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	1067790	1067790	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1067790	1067790	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	1067790	1056951	98.98	1	0.00	0	0.00	275	0.03	10563	0.99
Bacteria_24k	1067790	1027462	96.22	124	0.01	93	0.01	4012	0.38	36099	3.38
Protists_1k	1067790	965532	90.43	5381	0.50	10862	1.02	2491	0.23	83524	7.82
Viruses	1067790	1023200	95.83	136	0.01	46	0.00	3722	0.35	40686	3.81
Fungi_RefSeq_release	1067790	990047	92.72	1024	0.10	224	0.02	7253	0.68	69242	6.48
Coral	1067790	1020356	95.56	206	0.02	50	0.00	6591	0.62	40587	3.80
Bird	1067790	1008417	94.43	703	0.07	93	0.01	8094	0.76	50483	4.73
Plant	1067790	1008181	94.41	276	0.03	66	0.01	5743	0.54	53524	5.01

%Hit_no_genomes: 89.64
