#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	8323749	7706242	92.58	13475	0.16	5026	0.06	51678	0.62	547328	6.58
Ecoli	8323749	8323748	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	8323749	8323749	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	8323749	8323749	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	8323749	8247454	99.09	16	0.00	1	0.00	2079	0.02	74199	0.89
Bacteria_24k	8323749	8028165	96.44	861	0.01	476	0.01	28741	0.35	265506	3.19
Protists_1k	8323749	7566260	90.91	41176	0.49	81749	0.98	18597	0.22	615967	7.40
Viruses	8323749	7998489	96.09	500	0.01	159	0.00	28968	0.35	295633	3.55
Fungi_RefSeq_release	8323749	7752364	93.14	7644	0.09	1647	0.02	54355	0.65	507739	6.10
Coral	8323749	7970099	95.74	1462	0.02	662	0.01	48003	0.58	303523	3.65
Bird	8323749	7881292	94.68	5789	0.07	904	0.01	58241	0.70	377523	4.54
Plant	8323749	7887024	94.74	2133	0.03	518	0.01	42326	0.51	391748	4.71

%Hit_no_genomes: 90.13
