#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	184736495	169862757	91.95	312673	0.17	112225	0.06	1194646	0.65	13254194	7.17
Ecoli	184736495	184736329	100.00	0	0.00	0	0.00	10	0.00	156	0.00
PhiX	184736495	184736495	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	184736495	184736243	100.00	1	0.00	0	0.00	12	0.00	239	0.00
Vectors	184736495	182834725	98.97	381	0.00	41	0.00	52360	0.03	1848988	1.00
Bacteria_24k	184736495	177564198	96.12	23133	0.01	15329	0.01	706776	0.38	6427059	3.48
Protists_1k	184736495	166620000	90.19	952721	0.52	1882298	1.02	437944	0.24	14843532	8.03
Viruses	184736495	176737567	95.67	13554	0.01	3831	0.00	708672	0.38	7272871	3.94
Fungi_RefSeq_release	184736495	170987980	92.56	180069	0.10	38787	0.02	1277537	0.69	12252122	6.63
Coral	184736495	176254195	95.40	33380	0.02	14848	0.01	1143282	0.62	7290790	3.95
Bird	184736495	174093517	94.23	138634	0.08	22676	0.01	1433745	0.78	9047923	4.90
Plant	184736495	174148769	94.26	50700	0.03	12099	0.01	1011268	0.55	9513659	5.15

%Hit_no_genomes: 89.38
