#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	136720348	125640972	91.90	230974	0.17	83445	0.06	902446	0.66	9862511	7.21
Ecoli	136720348	136720271	100.00	0	0.00	0	0.00	9	0.00	68	0.00
PhiX	136720348	136720348	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	136720348	136720054	100.00	0	0.00	0	0.00	42	0.00	252	0.00
Vectors	136720348	135328448	98.98	266	0.00	43	0.00	39837	0.03	1351754	0.99
Bacteria_24k	136720348	131400210	96.11	19175	0.01	13423	0.01	529188	0.39	4758352	3.48
Protists_1k	136720348	123191562	90.10	714557	0.52	1416563	1.04	329839	0.24	11067827	8.10
Viruses	136720348	130817548	95.68	9378	0.01	2820	0.00	519119	0.38	5371483	3.93
Fungi_RefSeq_release	136720348	126455842	92.49	133281	0.10	29524	0.02	960470	0.70	9141231	6.69
Coral	136720348	130394347	95.37	24779	0.02	9441	0.01	859599	0.63	5432182	3.97
Bird	136720348	128768110	94.19	102512	0.07	16338	0.01	1058400	0.77	6774988	4.96
Plant	136720348	128833215	94.22	37423	0.03	8850	0.01	762294	0.56	7078566	5.18

%Hit_no_genomes: 89.29
