#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	56604307	52137759	92.10	94605	0.17	33450	0.06	350441	0.62	3988052	7.05
Ecoli	56604307	56604251	100.00	0	0.00	0	0.00	2	0.00	54	0.00
PhiX	56604307	56604307	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	56604307	56604289	100.00	0	0.00	0	0.00	2	0.00	16	0.00
Vectors	56604307	56015033	98.96	120	0.00	13	0.00	15214	0.03	573927	1.01
Bacteria_24k	56604307	54445816	96.19	6213	0.01	3448	0.01	205548	0.36	1943282	3.43
Protists_1k	56604307	51162971	90.38	281202	0.50	566946	1.00	127362	0.23	4465826	7.89
Viruses	56604307	54169597	95.70	3972	0.01	1013	0.00	215165	0.38	2214560	3.91
Fungi_RefSeq_release	56604307	52470804	92.70	53261	0.09	11545	0.02	378229	0.67	3690468	6.52
Coral	56604307	54050950	95.49	9755	0.02	6330	0.01	338610	0.60	2198662	3.88
Bird	56604307	53426659	94.39	40569	0.07	6016	0.01	419701	0.74	2711362	4.79
Plant	56604307	53407414	94.34	14912	0.03	3699	0.01	299155	0.53	2879127	5.09

%Hit_no_genomes: 89.61
