#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	5583929	5134340	91.95	9154	0.16	3206	0.06	36779	0.66	400450	7.17
Ecoli	5583929	5583926	100.00	0	0.00	0	0.00	3	0.00	0	0.00
PhiX	5583929	5583929	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	5583929	5583929	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	5583929	5523220	98.91	4	0.00	1	0.00	1527	0.03	59177	1.06
Bacteria_24k	5583929	5367566	96.12	935	0.02	646	0.01	21036	0.38	193746	3.47
Protists_1k	5583929	5033961	90.15	29190	0.52	58085	1.04	13170	0.24	449523	8.05
Viruses	5583929	5343654	95.70	362	0.01	109	0.00	20185	0.36	219619	3.93
Fungi_RefSeq_release	5583929	5168886	92.57	5183	0.09	1130	0.02	38571	0.69	370159	6.63
Coral	5583929	5329055	95.44	1022	0.02	202	0.00	34686	0.62	218964	3.92
Bird	5583929	5261402	94.22	4224	0.08	662	0.01	43322	0.78	274319	4.91
Plant	5583929	5264885	94.28	1436	0.03	363	0.01	30975	0.55	286270	5.13

%Hit_no_genomes: 89.36
