#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2446397	2252741	92.08	3938	0.16	1441	0.06	15409	0.63	172868	7.07
Ecoli	2446397	2446395	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	2446397	2446397	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2446397	2446396	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	2446397	2421690	98.99	6	0.00	2	0.00	642	0.03	24057	0.98
Bacteria_24k	2446397	2352698	96.17	307	0.01	217	0.01	9363	0.38	83812	3.43
Protists_1k	2446397	2210135	90.34	12429	0.51	24702	1.01	5668	0.23	193463	7.91
Viruses	2446397	2341617	95.72	191	0.01	43	0.00	9359	0.38	95187	3.89
Fungi_RefSeq_release	2446397	2268413	92.72	2316	0.09	485	0.02	16521	0.68	158662	6.49
Coral	2446397	2336998	95.53	481	0.02	177	0.01	14951	0.61	93790	3.83
Bird	2446397	2308595	94.38	1828	0.07	340	0.01	19168	0.78	116466	4.76
Plant	2446397	2310312	94.43	664	0.03	156	0.01	13171	0.54	122094	4.99

%Hit_no_genomes: 89.55
