#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	8923351	8238991	92.33	14717	0.16	5372	0.06	55863	0.63	608408	6.82
Ecoli	8923351	8923348	100.00	0	0.00	0	0.00	0	0.00	3	0.00
PhiX	8923351	8923351	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	8923351	8923348	100.00	0	0.00	0	0.00	1	0.00	2	0.00
Vectors	8923351	8839161	99.05	16	0.00	3	0.00	2256	0.03	81915	0.92
Bacteria_24k	8923351	8597188	96.34	987	0.01	508	0.01	32859	0.37	291809	3.27
Protists_1k	8923351	8086204	90.62	44572	0.50	89251	1.00	20430	0.23	682894	7.65
Viruses	8923351	8560872	95.94	559	0.01	191	0.00	31644	0.35	330085	3.70
Fungi_RefSeq_release	8923351	8290533	92.91	8294	0.09	1884	0.02	59565	0.67	563075	6.31
Coral	8923351	8536274	95.66	1620	0.02	321	0.00	53114	0.60	332022	3.72
Bird	8923351	8433948	94.53	6543	0.07	1144	0.01	65567	0.73	416149	4.66
Plant	8923351	8438237	94.55	2311	0.03	531	0.01	46991	0.53	435281	4.88

%Hit_no_genomes: 89.84
