#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	5041302	4659530	92.43	8198	0.16	3029	0.06	31436	0.62	339109	6.73
Ecoli	5041302	5041300	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	5041302	5041302	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	5041302	5041302	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	5041302	4994749	99.07	7	0.00	0	0.00	1309	0.03	45237	0.90
Bacteria_24k	5041302	4860013	96.40	528	0.01	273	0.01	17656	0.35	162832	3.23
Protists_1k	5041302	4570950	90.67	25254	0.50	51780	1.03	11488	0.23	381830	7.57
Viruses	5041302	4840162	96.00	308	0.01	82	0.00	18415	0.37	182335	3.62
Fungi_RefSeq_release	5041302	4688371	93.00	4542	0.09	1013	0.02	33822	0.67	313554	6.22
Coral	5041302	4824756	95.70	867	0.02	499	0.01	29125	0.58	186055	3.69
Bird	5041302	4770846	94.64	3530	0.07	603	0.01	36230	0.72	230093	4.56
Plant	5041302	4771964	94.65	1255	0.02	329	0.01	26476	0.53	241278	4.79

%Hit_no_genomes: 89.90
