#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	10004182	9150924	91.48	17490	0.17	5988	0.06	67065	0.67	762715	7.62
Ecoli	10004182	10004172	100.00	0	0.00	0	0.00	1	0.00	9	0.00
PhiX	10004182	10004182	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	10004182	10004165	100.00	0	0.00	0	0.00	4	0.00	13	0.00
Vectors	10004182	9907381	99.03	19	0.00	3	0.00	2783	0.03	93996	0.94
Bacteria_24k	10004182	9593972	95.90	1038	0.01	655	0.01	41201	0.41	367316	3.67
Protists_1k	10004182	8962568	89.58	53692	0.54	107561	1.08	24742	0.25	855619	8.55
Viruses	10004182	9542270	95.38	938	0.01	245	0.00	44687	0.45	416042	4.16
Fungi_RefSeq_release	10004182	9219737	92.16	10081	0.10	2212	0.02	74185	0.74	697967	6.98
Coral	10004182	9528234	95.23	1798	0.02	1712	0.02	64540	0.65	407898	4.08
Bird	10004182	9405000	94.02	8070	0.08	1246	0.01	89246	0.89	500620	5.00
Plant	10004182	9409032	94.05	2705	0.03	678	0.01	58247	0.58	533520	5.33

%Hit_no_genomes: 88.75
