#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2920814	2672980	91.52	5048	0.17	1832	0.06	20304	0.70	220650	7.55
Ecoli	2920814	2920813	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	2920814	2920814	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2920814	2920809	100.00	0	0.00	0	0.00	2	0.00	3	0.00
Vectors	2920814	2891105	98.98	4	0.00	1	0.00	828	0.03	28876	0.99
Bacteria_24k	2920814	2802786	95.96	329	0.01	245	0.01	11894	0.41	105560	3.61
Protists_1k	2920814	2618023	89.62	15680	0.54	31813	1.09	7160	0.25	248138	8.50
Viruses	2920814	2789461	95.51	240	0.01	81	0.00	11513	0.39	119519	4.09
Fungi_RefSeq_release	2920814	2691531	92.15	2968	0.10	662	0.02	21591	0.74	204062	6.99
Coral	2920814	2781400	95.23	512	0.02	116	0.00	19492	0.67	119294	4.08
Bird	2920814	2745168	93.99	2138	0.07	334	0.01	24525	0.84	148649	5.09
Plant	2920814	2745690	94.00	821	0.03	204	0.01	17243	0.59	156856	5.37

%Hit_no_genomes: 88.81
