#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	13564625	12490201	92.08	22713	0.17	8237	0.06	86793	0.64	956681	7.05
Ecoli	13564625	13564621	100.00	0	0.00	0	0.00	0	0.00	4	0.00
PhiX	13564625	13564625	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	13564625	13564617	100.00	0	0.00	0	0.00	0	0.00	8	0.00
Vectors	13564625	13430342	99.01	25	0.00	2	0.00	3673	0.03	130583	0.96
Bacteria_24k	13564625	13050722	96.21	1499	0.01	891	0.01	51212	0.38	460301	3.39
Protists_1k	13564625	12254882	90.34	68952	0.51	138333	1.02	31379	0.23	1071079	7.90
Viruses	13564625	12990493	95.77	945	0.01	254	0.00	50337	0.37	522596	3.85
Fungi_RefSeq_release	13564625	12571819	92.68	12923	0.10	2780	0.02	92263	0.68	884840	6.52
Coral	13564625	12955482	95.51	2415	0.02	689	0.01	83283	0.61	522756	3.85
Bird	13564625	12796885	94.34	10124	0.07	1634	0.01	102817	0.76	653165	4.82
Plant	13564625	12797901	94.34	3774	0.03	899	0.01	73476	0.54	688575	5.08

%Hit_no_genomes: 89.54
