Sequence_Name	Extraction_ID
GotPopWAS268	PopWA-S-268-1A-lcwgs-1-2
GotPopWCL157	PopWC-L-157-1B-lcwgs-1-2
GotPopAS25	PopA-S-25-1C-lcwgs-1-2
GotPopCS40	PopC-S-40-1D-lcwgs-1-2
GotPopAL20	PopA-L-20-1E-lcwgs-1-2
GotPopBS11	PopB-S-11-1F-lcwgs-1-2
GotPopBL40	PopB-L-40-1G-lcwgs-1-2
GotPopBL3	PopB-L-3-1H-lcwgs-1-2
GotPopWBL217	PopWB-L-217-2A-lcwgs-1-2
GotPopBS37	PopB-S-37-2B-lcwgs-1-2
GotPopCS3	PopC-S-3-2C-lcwgs-1-2
GotPopWAS104	PopWA-S-104-2D-lcwgs-1-2
GotPopWCL94	PopWC-L-94-2E-lcwgs-1-2
GotPopAL43	PopA-L-43-2F-lcwgs-1-2
GotPopWCL180	PopWC-L-180-2G-lcwgs-1-2
GotPopWCL254	PopWC-L-254-2H-lcwgs-1-2
GotPopAL9	PopA-L-9-3A-lcwgs-1-2
GotPopCS38	PopC-S-38-3B-lcwgs-1-2
GotPopCS28	PopC-S-28-3C-lcwgs-1-2
GotPopAL36	PopA-L-36-3D-lcwgs-1-2
GotPopCL1	PopC-L-1-3E-lcwgs-1-2
GotPopCS15	PopC-S-15-3F-lcwgs-1-2
GotPopWCS158	PopWC-S-158-3G-lcwgs-1-2
GotPopWBL204	PopWB-L-204-3H-lcwgs-1-2
GotPopAS42	PopA-S-42-4A-lcwgs-1-2
GotPopAL17	PopA-L-17-4B-lcwgs-1-2
GotPopCS30	PopC-S-30-4C-lcwgs-1-2
GotPopBL37	PopB-L-37-4D-lcwgs-1-2
GotPopWBL3	PopWB-L-3-4E-lcwgs-1-2
GotPopCS47	PopC-S-47-4F-lcwgs-1-2
GotPopBS50	PopB-S-50-4G-lcwgs-1-2
GotPopCS2	PopC-S-2-4H-lcwgs-1-2
GotPopCS45	PopC-S-45-5A-lcwgs-1-2
GotPopWAL228	PopWA-L-228-5B-lcwgs-1-2
GotPopAL13	PopA-L-13-5C-lcwgs-1-2
GotPopBS33	PopB-S-33-5D-lcwgs-1-2
GotPopBS8	PopB-S-8-5E-lcwgs-1-2
GotPopWCL26	PopWC-L-26-5F-lcwgs-1-2
GotPopWCL116	PopWC-L-116-5G-lcwgs-1-2
GotPopAL1	PopA-L-1-5H-lcwgs-1-2
GotPopBS41	PopB-S-41-6A-lcwgs-1-2
GotPopWCL12	PopWC-L-12-6B-lcwgs-1-2
GotPopBS45	PopB-S-45-6C-lcwgs-1-2
GotPopCS1	PopC-S-1-6D-lcwgs-1-2
GotPopAS8	PopA-S-8-6E-lcwgs-1-2
GotPopCS25	PopC-S-25-6F-lcwgs-1-2
GotPopWCL206	PopWC-L-206-6G-lcwgs-1-2
GotPopWCL153	PopWC-L-153-6H-lcwgs-1-2
GotPopWCL20	PopWC-L-20-7A-lcwgs-1-2
GotPopWCS103	PopWC-S-103-7B-lcwgs-1-2
GotPopWAL182	PopWA-L-182-7C-lcwgs-1-2
GotPopAS2	PopA-S-2-7D-lcwgs-1-2
GotPopBS38	PopB-S-38-7E-lcwgs-1-2
GotPopWCL177	PopWC-L-177-7F-lcwgs-1-2
GotPopWAS57	PopWA-S-57-7G-lcwgs-1-2
GotPopCS41	PopC-S-41-7H-lcwgs-1-2
GotPopWCS163	PopWC-S-163-8A-lcwgs-1-2
GotPopBL41	PopB-L-41-8B-lcwgs-1-2
GotPopBL12	PopB-L-12-8C-lcwgs-1-2
GotPopBS46	PopB-S-46-8D-lcwgs-1-2
GotPopAS50	PopA-S-50-8E-lcwgs-1-2
GotPopBS44	PopB-S-44-8F-lcwgs-1-2
GotPopAS47	PopA-S-47-8G-lcwgs-1-2
GotPopAS5	PopA-S-5-8H-lcwgs-1-2
GotPopCS32	PopC-S-32-9A-lcwgs-1-2
GotPopCS24	PopC-S-24-9B-lcwgs-1-2
GotPopBS20	PopB-S-20-9C-lcwgs-1-2
GotPopAS31	PopA-S-31-9D-lcwgs-1-2
GotPopCS26	PopC-S-26-9E-lcwgs-1-2
GotPopAL24	PopA-L-24-9F-lcwgs-1-2
GotPopCS12	PopC-S-12-9G-lcwgs-1-2
GotPopBL45	PopB-L-45-9H-lcwgs-1-2
GotPopAL6	PopA-L-6-10A-lcwgs-1-2
GotPopWCL192	PopWC-L-192-10B-lcwgs-1-2
GotPopBS49	PopB-S-49-10C-lcwgs-1-2
GotPopAS33	PopA-S-33-10D-lcwgs-1-2
GotPopWCL188	PopWC-L-188-10E-lcwgs-1-2
GotPopAS46	PopA-S-46-10F-lcwgs-1-2
GotPopWBS121	PopWB-S-121-10G-lcwgs-1-2
GotPopBS48	PopB-S-48-10H-lcwgs-1-2
GotPopWBS152	PopWB-S-152-11A-lcwgs-1-2
GotPopAS37	PopA-S-37-11B-lcwgs-1-2
GotPopAS39	PopA-S-39-11C-lcwgs-1-2
GotPopAL45	PopA-L-45-11D-lcwgs-1-2
GotPopWCL9	PopWC-L-9-11E-lcwgs-1-2
GotPopWBS53	PopWB-S-53-11F-lcwgs-1-2
GotPopBL28	PopB-L-28-11G-lcwgs-1-2
GotPopAS17	PopA-S-17-11H-lcwgs-1-2
GotPopAL39	PopA-L-39-12A-lcwgs-1-2
GotPopCS44	PopC-S-44-12B-lcwgs-1-2
GotPopCS43	PopC-S-43-12C-lcwgs-1-2
GotPopBL6	PopB-L-6-12D-lcwgs-1-2
GotPopWAS49	PopWA-S-49-12E-lcwgs-1-2
GotPopAL31	PopA-L-31-12F-lcwgs-1-2
GotPopWBL106	PopWB-L-106-12G-lcwgs-1-2
GotPopAS4	PopA-S-4-12H-lcwgs-1-2
GotPopBL44	PopB-L-44-1A-lcwgs-1-2
GotPopCS6	PopC-S-6-1B-lcwgs-1-2
GotPopCS50	PopC-S-50-1C-lcwgs-1-2
GotPopAS38	PopA-S-38-1D-lcwgs-1-2
GotPopWBL172	PopWB-L-172-1E-lcwgs-1-2
GotPopBS17	PopB-S-17-1F-lcwgs-1-2
GotPopBL8	PopB-L-8-1G-lcwgs-1-2
GotPopCS49	PopC-S-49-1H-lcwgs-1-2
GotPopWAL19	PopWA-L-19-2A-lcwgs-1-2
GotPopBS14	PopB-S-14-2B-lcwgs-1-2
GotPopBS9	PopB-S-9-2C-lcwgs-1-2
GotPopAL15	PopA-L-15-2D-lcwgs-1-2
GotPopAL27	PopA-L-27-2E-lcwgs-1-2
GotPopBL34	PopB-L-34-2F-lcwgs-1-2
GotPopWCS126	PopWC-S-126-2G-lcwgs-1-2
GotPopBS12	PopB-S-12-2H-lcwgs-1-2
GotPopBL35	PopB-L-35-3A-lcwgs-1-2
GotPopAL8	PopA-L-8-3B-lcwgs-1-2
GotPopBS30	PopB-S-30-3C-lcwgs-1-2
GotPopCS48	PopC-S-48-3D-lcwgs-1-2
GotPopBS24	PopB-S-24-3E-lcwgs-1-2
GotPopWCL29	PopWC-L-29-3F-lcwgs-1-2
GotPopAL3	PopA-L-3-3G-lcwgs-1-2
GotPopCL11	PopC-L-11-3H-lcwgs-1-2
GotPopBL47	PopB-L-47-4A-lcwgs-1-2
GotPopCS46	PopC-S-46-4B-lcwgs-1-2
GotPopBL5	PopB-L-5-4C-lcwgs-1-2
GotPopAL11	PopA-L-11-4D-lcwgs-1-2
GotPopCS33	PopC-S-33-4E-lcwgs-1-2
GotPopBS22	PopB-S-22-4F-lcwgs-1-2
GotPopWAL136	PopWA-L-136-4G-lcwgs-1-2
GotPopBS29	PopB-S-29-4H-lcwgs-1-2
GotPopWCS271	PopWC-S-271-5A-lcwgs-1-2
GotPopAS19	PopA-S-19-5B-lcwgs-1-2
GotPopBS7	PopB-S-7-5C-lcwgs-1-2
GotPopCS16	PopC-S-16-5D-lcwgs-1-2
GotPopBL20	PopB-L-20-5E-lcwgs-1-2
GotPopCS18	PopC-S-18-5F-lcwgs-1-2
GotPopWAL25	PopWA-L-25-5G-lcwgs-1-2
GotPopWCL47	PopWC-L-47-5H-lcwgs-1-2
GotPopWCL50	PopWC-L-50-6A-lcwgs-1-2
GotPopWCL123	PopWC-L-123-6B-lcwgs-1-2
GotPopAS16	PopA-S-16-6C-lcwgs-1-2
GotPopAL40	PopA-L-40-6D-lcwgs-1-2
GotPopAS21	PopA-S-21-6E-lcwgs-1-2
GotPopWCL127	PopWC-L-127-6F-lcwgs-1-2
GotPopBS39	PopB-S-39-6G-lcwgs-1-2
GotPopAS34	PopA-S-34-6H-lcwgs-1-2
GotPopWCL220	PopWC-L-220-7A-lcwgs-1-2
GotPopAS10	PopA-S-10-7B-lcwgs-1-2
GotPopBL7	PopB-L-7-7C-lcwgs-1-2
GotPopAS30	PopA-S-30-7D-lcwgs-1-2
GotPopAL4	PopA-L-4-7E-lcwgs-1-2
GotPopBL14	PopB-L-14-7F-lcwgs-1-2
GotPopWCL36	PopWC-L-36-7G-lcwgs-1-2
GotPopBL10	PopB-L-10-7H-lcwgs-1-2
GotPopAL23	PopA-L-23-8A-lcwgs-1-2
GotPopBL11	PopB-L-11-8B-lcwgs-1-2
GotPopAL46	PopA-L-46-8C-lcwgs-1-2
