#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	3833045	3546311	92.52	6193	0.16	2255	0.06	24290	0.63	253996	6.63
Ecoli	3833045	3833044	100.00	0	0.00	0	0.00	1	0.00	0	0.00
PhiX	3833045	3833045	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	3833045	3833044	100.00	0	0.00	0	0.00	1	0.00	0	0.00
Vectors	3833045	3798476	99.09	6	0.00	0	0.00	992	0.03	33571	0.88
Bacteria_24k	3833045	3696653	96.44	427	0.01	218	0.01	13542	0.35	122205	3.19
Protists_1k	3833045	3479871	90.79	19454	0.51	38489	1.00	8885	0.23	286346	7.47
Viruses	3833045	3683491	96.09	217	0.01	57	0.00	12953	0.34	136327	3.56
Fungi_RefSeq_release	3833045	3567101	93.06	3692	0.10	774	0.02	25587	0.67	235891	6.15
Coral	3833045	3669814	95.74	687	0.02	132	0.00	22516	0.59	139896	3.65
Bird	3833045	3627542	94.64	2728	0.07	436	0.01	26830	0.70	175509	4.58
Plant	3833045	3629730	94.69	1080	0.03	254	0.01	20164	0.53	181817	4.74

%Hit_no_genomes: 90.01
