#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2977079	2761977	92.77	4842	0.16	1787	0.06	18024	0.61	190449	6.40
Ecoli	2977079	2977078	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	2977079	2977079	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2977079	2977074	100.00	0	0.00	0	0.00	0	0.00	5	0.00
Vectors	2977079	2952685	99.18	3	0.00	2	0.00	713	0.02	23676	0.80
Bacteria_24k	2977079	2875520	96.58	300	0.01	197	0.01	10282	0.35	90780	3.05
Protists_1k	2977079	2711862	91.10	14805	0.50	29004	0.97	6682	0.22	214726	7.21
Viruses	2977079	2864092	96.20	204	0.01	62	0.00	11045	0.37	101676	3.42
Fungi_RefSeq_release	2977079	2778682	93.33	2802	0.09	572	0.02	19209	0.65	175814	5.91
Coral	2977079	2855085	95.90	517	0.02	389	0.01	16571	0.56	104517	3.51
Bird	2977079	2824918	94.88	2243	0.08	364	0.01	21340	0.72	128214	4.31
Plant	2977079	2826882	94.96	709	0.02	162	0.01	14977	0.50	134349	4.51

%Hit_no_genomes: 90.31
