#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	28523529	26261431	92.06	47771	0.17	16776	0.06	176644	0.62	2020907	7.09
Ecoli	28523529	28523496	100.00	0	0.00	0	0.00	1	0.00	32	0.00
PhiX	28523529	28523529	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	28523529	28523520	100.00	0	0.00	0	0.00	1	0.00	8	0.00
Vectors	28523529	28224651	98.95	63	0.00	6	0.00	7596	0.03	291213	1.02
Bacteria_24k	28523529	27428764	96.16	3176	0.01	1754	0.01	103768	0.36	986067	3.46
Protists_1k	28523529	25768938	90.34	141815	0.50	286622	1.00	64469	0.23	2261685	7.93
Viruses	28523529	27288558	95.67	2051	0.01	488	0.00	109146	0.38	1123286	3.94
Fungi_RefSeq_release	28523529	26430555	92.67	26975	0.09	5720	0.02	190984	0.67	1869295	6.55
Coral	28523529	27229970	95.46	4956	0.02	3211	0.01	170875	0.60	1114517	3.91
Bird	28523529	26914109	94.36	20509	0.07	3054	0.01	212539	0.75	1373318	4.81
Plant	28523529	26903419	94.32	7436	0.03	1842	0.01	151895	0.53	1458937	5.11

%Hit_no_genomes: 89.56
