#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	4889186	4524202	92.53	8006	0.16	2832	0.06	30185	0.62	323961	6.63
Ecoli	4889186	4889177	100.00	0	0.00	0	0.00	0	0.00	9	0.00
PhiX	4889186	4889186	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	4889186	4889186	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	4889186	4844209	99.08	11	0.00	1	0.00	1188	0.02	43777	0.90
Bacteria_24k	4889186	4712851	96.40	795	0.02	661	0.01	17247	0.35	157632	3.22
Protists_1k	4889186	4439805	90.82	24571	0.50	48622	0.99	11244	0.23	364944	7.46
Viruses	4889186	4694269	96.01	315	0.01	85	0.00	18059	0.37	176458	3.61
Fungi_RefSeq_release	4889186	4551561	93.09	4575	0.09	1006	0.02	32060	0.66	299984	6.14
Coral	4889186	4680503	95.73	817	0.02	570	0.01	28026	0.57	179270	3.67
Bird	4889186	4628762	94.68	3469	0.07	622	0.01	35253	0.72	221080	4.52
Plant	4889186	4632369	94.74	1241	0.03	310	0.01	24990	0.51	230276	4.71

%Hit_no_genomes: 90.02
