#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	6738316	6196822	91.97	11117	0.16	3981	0.06	43955	0.65	482441	7.16
Ecoli	6738316	6738309	100.00	0	0.00	0	0.00	0	0.00	7	0.00
PhiX	6738316	6738316	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	6738316	6738315	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	6738316	6671324	99.00	10	0.00	3	0.00	1803	0.03	65176	0.97
Bacteria_24k	6738316	6476984	96.12	1050	0.02	753	0.01	25577	0.38	233952	3.47
Protists_1k	6738316	6074394	90.15	35210	0.52	70620	1.05	15741	0.23	542351	8.05
Viruses	6738316	6449746	95.71	442	0.01	145	0.00	24819	0.37	263164	3.91
Fungi_RefSeq_release	6738316	6236321	92.55	6511	0.10	1343	0.02	47115	0.70	447026	6.63
Coral	6738316	6431319	95.45	1209	0.02	240	0.00	41440	0.61	264108	3.92
Bird	6738316	6352479	94.27	4980	0.07	755	0.01	52275	0.78	327827	4.87
Plant	6738316	6354372	94.30	1740	0.03	407	0.01	37321	0.55	344476	5.11

%Hit_no_genomes: 89.36
