#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2389328	2211722	92.56	3830	0.16	1438	0.06	14731	0.62	157607	6.60
Ecoli	2389328	2389326	100.00	0	0.00	0	0.00	0	0.00	2	0.00
PhiX	2389328	2389328	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2389328	2389327	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	2389328	2366066	99.03	2	0.00	1	0.00	689	0.03	22570	0.94
Bacteria_24k	2389328	2303811	96.42	410	0.02	313	0.01	8513	0.36	76281	3.19
Protists_1k	2389328	2171175	90.87	12194	0.51	23159	0.97	5477	0.23	177323	7.42
Viruses	2389328	2295028	96.06	150	0.01	36	0.00	8225	0.34	85889	3.59
Fungi_RefSeq_release	2389328	2225164	93.13	2278	0.10	481	0.02	15612	0.65	145793	6.10
Coral	2389328	2288193	95.77	409	0.02	91	0.00	13731	0.57	86904	3.64
Bird	2389328	2261472	94.65	1732	0.07	303	0.01	17162	0.72	108659	4.55
Plant	2389328	2264435	94.76	621	0.03	128	0.01	12091	0.51	112053	4.69

%Hit_no_genomes: 90.08
