#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	5211184	4829689	92.68	8296	0.16	3038	0.06	32255	0.62	337906	6.48
Ecoli	5211184	5211178	100.00	0	0.00	0	0.00	3	0.00	3	0.00
PhiX	5211184	5211184	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	5211184	5211183	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	5211184	5162797	99.07	13	0.00	0	0.00	1378	0.03	46996	0.90
Bacteria_24k	5211184	5028758	96.51	714	0.01	553	0.01	17807	0.34	163352	3.13
Protists_1k	5211184	4741728	91.00	25723	0.49	51215	0.98	11645	0.22	380873	7.31
Viruses	5211184	5010276	96.15	348	0.01	95	0.00	17321	0.33	183144	3.51
Fungi_RefSeq_release	5211184	4858839	93.24	4812	0.09	1007	0.02	33696	0.65	312830	6.00
Coral	5211184	4993326	95.82	872	0.02	196	0.00	29478	0.57	187312	3.59
Bird	5211184	4937292	94.74	3726	0.07	607	0.01	36761	0.71	232798	4.47
Plant	5211184	4942545	94.85	1298	0.02	303	0.01	26115	0.50	240923	4.62

%Hit_no_genomes: 90.23
