#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	7634011	7087133	92.84	12418	0.16	4494	0.06	46945	0.61	483021	6.33
Ecoli	7634011	7634011	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	7634011	7634011	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	7634011	7634011	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	7634011	7570222	99.17	10	0.00	2	0.00	1874	0.02	61903	0.81
Bacteria_24k	7634011	7375554	96.61	793	0.01	408	0.01	25860	0.34	231396	3.03
Protists_1k	7634011	6959590	91.17	37458	0.49	74798	0.98	16785	0.22	545380	7.14
Viruses	7634011	7350112	96.28	453	0.01	161	0.00	25274	0.33	258011	3.38
Fungi_RefSeq_release	7634011	7129605	93.40	6899	0.09	1502	0.02	49103	0.64	446902	5.85
Coral	7634011	7326203	95.97	1300	0.02	381	0.00	42516	0.56	263611	3.45
Bird	7634011	7246164	94.92	5383	0.07	881	0.01	52797	0.69	328786	4.31
Plant	7634011	7250496	94.98	1877	0.02	434	0.01	38229	0.50	342975	4.49

%Hit_no_genomes: 90.41
