#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	8489897	7826152	92.18	14052	0.17	5040	0.06	55255	0.65	589398	6.94
Ecoli	8489897	8489893	100.00	0	0.00	0	0.00	0	0.00	4	0.00
PhiX	8489897	8489897	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	8489897	8489897	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Vectors	8489897	8403483	98.98	12	0.00	2	0.00	2294	0.03	84106	0.99
Bacteria_24k	8489897	8173450	96.27	836	0.01	508	0.01	31255	0.37	283848	3.34
Protists_1k	8489897	7675831	90.42	43957	0.52	87014	1.02	19664	0.23	663431	7.81
Viruses	8489897	8138818	95.86	542	0.01	156	0.00	30147	0.36	320234	3.77
Fungi_RefSeq_release	8489897	7876469	92.78	8244	0.10	1782	0.02	58117	0.68	545285	6.42
Coral	8489897	8113930	95.57	1452	0.02	264	0.00	51040	0.60	323211	3.81
Bird	8489897	8014582	94.41	6214	0.07	992	0.01	64090	0.75	404019	4.76
Plant	8489897	8020781	94.46	2145	0.03	540	0.01	45637	0.54	420794	4.96

%Hit_no_genomes: 89.63
