#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1210021	1055667	87.25	2461	0.20	850	0.07	12147	1.00	138896	11.48
Ecoli	1210021	1210020	100.00	0	0.00	0	0.00	0	0.00	1	0.00
PhiX	1210021	1210021	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1210021	1210011	100.00	0	0.00	0	0.00	0	0.00	10	0.00
Vectors	1210021	1192543	98.56	4	0.00	0	0.00	534	0.04	16940	1.40
Bacteria_24k	1210021	1136728	93.94	134	0.01	82	0.01	7463	0.62	65614	5.42
Protists_1k	1210021	1023192	84.56	8644	0.71	18467	1.53	4016	0.33	155702	12.87
Viruses	1210021	1129307	93.33	67	0.01	19	0.00	7054	0.58	73574	6.08
Fungi_RefSeq_release	1210021	1064858	88.00	1533	0.13	333	0.03	12976	1.07	130321	10.77
Coral	1210021	1120803	92.62	257	0.02	61	0.01	12356	1.02	76544	6.33
Bird	1210021	1098561	90.80	882	0.07	165	0.01	13924	1.15	96489	7.97
Plant	1210021	1097765	90.73	421	0.03	121	0.01	11273	0.93	100441	8.30

%Hit_no_genomes: 83.58
