#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	503951	444220	88.15	926	0.18	334	0.07	4630	0.92	53841	10.68
Ecoli	503951	503951	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	503951	503951	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	503951	503945	100.00	0	0.00	0	0.00	0	0.00	6	0.00
Vectors	503951	496517	98.52	1	0.00	0	0.00	246	0.05	7187	1.43
Bacteria_24k	503951	475509	94.36	72	0.01	35	0.01	2914	0.58	25421	5.04
Protists_1k	503951	431601	85.64	3306	0.66	7077	1.40	1698	0.34	60269	11.96
Viruses	503951	472293	93.72	32	0.01	13	0.00	2722	0.54	28891	5.73
Fungi_RefSeq_release	503951	447801	88.86	610	0.12	124	0.02	5078	1.01	50338	9.99
Coral	503951	469250	93.11	116	0.02	56	0.01	4868	0.97	29661	5.89
Bird	503951	460407	91.36	385	0.08	59	0.01	5401	1.07	37699	7.48
Plant	503951	460538	91.39	165	0.03	45	0.01	4350	0.86	38853	7.71

%Hit_no_genomes: 84.69
