#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	4694366	4339607	92.44	7761	0.17	2759	0.06	29164	0.62	315075	6.71
Ecoli	4694366	4694363	100.00	0	0.00	0	0.00	0	0.00	3	0.00
PhiX	4694366	4694366	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	4694366	4694365	100.00	0	0.00	0	0.00	1	0.00	0	0.00
Vectors	4694366	4652562	99.11	6	0.00	1	0.00	1225	0.03	40572	0.86
Bacteria_24k	4694366	4526106	96.41	514	0.01	277	0.01	16802	0.36	150667	3.21
Protists_1k	4694366	4257321	90.69	23956	0.51	47200	1.01	10825	0.23	355064	7.56
Viruses	4694366	4507259	96.02	334	0.01	103	0.00	17472	0.37	169198	3.60
Fungi_RefSeq_release	4694366	4367257	93.03	4506	0.10	902	0.02	31395	0.67	290306	6.18
Coral	4694366	4495274	95.75	776	0.02	394	0.01	27229	0.58	170693	3.64
Bird	4694366	4443770	94.67	3478	0.07	543	0.01	35159	0.75	211416	4.50
Plant	4694366	4445673	94.69	1274	0.03	282	0.01	24657	0.53	222480	4.74

%Hit_no_genomes: 89.91
