#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	8295	8119	97.88	21	0.25	3	0.04	5	0.06	147	1.77
Ecoli	8295	8294	99.99	0	0.00	0	0.00	0	0.00	1	0.01
PhiX	8295	8295	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	8295	8286	99.89	0	0.00	0	0.00	0	0.00	9	0.11
Vectors	8295	8283	99.86	0	0.00	0	0.00	0	0.00	12	0.14
Bacteria_24k	8295	6970	84.03	221	2.66	502	6.05	28	0.34	574	6.92
Protists_1k	8295	7592	91.53	38	0.46	20	0.24	206	2.48	439	5.29
Viruses	8295	8165	98.43	0	0.00	0	0.00	4	0.05	126	1.52
Fungi_RefSeq_release	8295	8118	97.87	4	0.05	1	0.01	15	0.18	157	1.89
Coral	8295	8173	98.53	1	0.01	0	0.00	4	0.05	117	1.41
Bird	8295	8165	98.43	1	0.01	0	0.00	9	0.11	120	1.45
Plant	8295	8183	98.65	0	0.00	0	0.00	4	0.05	108	1.30

%Hit_no_genomes: 82.39
