#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	1033093	1007247	97.50	438	0.04	99	0.01	1150	0.11	24159	2.34
Ecoli	1033093	1033064	100.00	0	0.00	0	0.00	10	0.00	19	0.00
PhiX	1033093	1033093	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	1033093	1033027	99.99	0	0.00	0	0.00	6	0.00	60	0.01
Vectors	1033093	1032408	99.94	1	0.00	0	0.00	24	0.00	660	0.06
Bacteria_24k	1033093	986542	95.50	7236	0.70	10963	1.06	1270	0.12	27082	2.62
Protists_1k	1033093	991566	95.98	2664	0.26	3268	0.32	4482	0.43	31113	3.01
Viruses	1033093	1013702	98.13	29	0.00	12	0.00	1120	0.11	18230	1.76
Fungi_RefSeq_release	1033093	1006184	97.39	319	0.03	109	0.01	1411	0.14	25070	2.43
Coral	1033093	1012081	97.98	48	0.00	14	0.00	868	0.08	20082	1.94
Bird	1033093	1010313	97.79	191	0.02	21	0.00	1328	0.13	21240	2.06
Plant	1033093	1013686	98.11	53	0.01	10	0.00	983	0.10	18361	1.78

%Hit_no_genomes: 94.04
