#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	469238	463807	98.84	388	0.08	92	0.02	591	0.13	4360	0.93
Ecoli	469238	469182	99.99	0	0.00	0	0.00	6	0.00	50	0.01
PhiX	469238	469238	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	469238	469217	100.00	0	0.00	0	0.00	1	0.00	20	0.00
Vectors	469238	469041	99.96	1	0.00	0	0.00	22	0.00	174	0.04
Bacteria_24k	469238	394565	84.09	13158	2.80	34307	7.31	1611	0.34	25597	5.46
Protists_1k	469238	434922	92.68	2681	0.57	1483	0.32	13091	2.79	17061	3.64
Viruses	469238	466382	99.39	10	0.00	8	0.00	421	0.09	2417	0.52
Fungi_RefSeq_release	469238	463161	98.71	205	0.04	57	0.01	904	0.19	4911	1.05
Coral	469238	466171	99.35	26	0.01	6	0.00	394	0.08	2641	0.56
Bird	469238	465159	99.14	66	0.01	16	0.00	675	0.14	3322	0.71
Plant	469238	466122	99.33	26	0.01	2	0.00	506	0.11	2582	0.55

%Hit_no_genomes: 82.32
