#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	2764	2613	94.53	1	0.04	3	0.11	5	0.18	142	5.14
Ecoli	2764	2764	100.00	0	0.00	0	0.00	0	0.00	0	0.00
PhiX	2764	2764	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	2764	2763	99.96	0	0.00	0	0.00	0	0.00	1	0.04
Vectors	2764	2761	99.89	0	0.00	0	0.00	0	0.00	3	0.11
Bacteria_24k	2764	2505	90.63	31	1.12	44	1.59	11	0.40	173	6.26
Protists_1k	2764	2544	92.05	10	0.36	5	0.18	33	1.19	172	6.22
Viruses	2764	2639	95.48	0	0.00	0	0.00	5	0.18	120	4.34
Fungi_RefSeq_release	2764	2616	94.64	2	0.07	1	0.04	6	0.22	139	5.03
Coral	2764	2641	95.55	0	0.00	0	0.00	2	0.07	121	4.38
Bird	2764	2631	95.19	1	0.04	0	0.00	5	0.18	127	4.59
Plant	2764	2635	95.33	0	0.00	1	0.04	3	0.11	125	4.52

%Hit_no_genomes: 88.89
