#Fastq_screen version: 0.14.0	#Aligner: bowtie2	#Processing all reads in FASTQ files
Genome	#Reads_processed	#Unmapped	%Unmapped	#One_hit_one_genome	%One_hit_one_genome	#Multiple_hits_one_genome	%Multiple_hits_one_genome	#One_hit_multiple_genomes	%One_hit_multiple_genomes	Multiple_hits_multiple_genomes	%Multiple_hits_multiple_genomes
Human	45342	44481	98.10	24	0.05	12	0.03	68	0.15	757	1.67
Ecoli	45342	45331	99.98	0	0.00	0	0.00	2	0.00	9	0.02
PhiX	45342	45342	100.00	0	0.00	0	0.00	0	0.00	0	0.00
Contamnts_Adaptrs	45342	45341	100.00	0	0.00	0	0.00	0	0.00	1	0.00
Vectors	45342	45305	99.91	0	0.00	0	0.00	7	0.02	30	0.07
Bacteria_24k	45342	37817	83.40	1096	2.42	3758	8.29	128	0.28	2543	5.61
Protists_1k	45342	42046	92.73	119	0.26	113	0.25	875	1.93	2189	4.83
Viruses	45342	44850	98.92	4	0.01	1	0.00	52	0.11	435	0.96
Fungi_RefSeq_release	45342	44399	97.92	21	0.05	4	0.01	119	0.26	799	1.76
Coral	45342	44765	98.73	4	0.01	0	0.00	69	0.15	504	1.11
Bird	45342	44628	98.43	6	0.01	0	0.00	79	0.17	629	1.39
Plant	45342	44774	98.74	4	0.01	0	0.00	57	0.13	507	1.12

%Hit_no_genomes: 81.78
